Date,Symbol,DeFiLlama_ID,Source,Circulating_Supply,Net_Mint_Burn_Units,Net_Flow_USD
2018-09-11 00:00:00+00:00,USDC,2,DeFiLlama,2.0,,
2018-09-12 00:00:00+00:00,USDC,2,DeFiLlama,2.0,0.0,0.0
2018-09-13 00:00:00+00:00,USDC,2,DeFiLlama,3.0,1.0,1.0
2018-09-14 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-15 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-16 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-17 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-18 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-19 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-20 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-21 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-22 00:00:00+00:00,USDC,2,DeFiLlama,3.0,0.0,0.0
2018-09-23 00:00:00+00:00,USDC,2,DeFiLlama,4.0,1.0,1.0
2018-09-24 00:00:00+00:00,USDC,2,DeFiLlama,4.0,0.0,0.0
2018-09-25 00:00:00+00:00,USDC,2,DeFiLlama,8.0,4.0,4.0
2018-09-26 00:00:00+00:00,USDC,2,DeFiLlama,10.0,2.0,2.0
2018-09-27 00:00:00+00:00,USDC,2,DeFiLlama,2109629.0,2109619.0,2116565.967070039
2018-09-28 00:00:00+00:00,USDC,2,DeFiLlama,3110019.0,1000390.0,1003684.5118277412
2018-09-29 00:00:00+00:00,USDC,2,DeFiLlama,3110439.0,420.0,421.3832388289885
2018-09-30 00:00:00+00:00,USDC,2,DeFiLlama,3110689.0,250.0,250.82337064232397
2018-10-01 00:00:00+00:00,USDC,2,DeFiLlama,3110979.0,290.0,290.9550209114237
2018-10-02 00:00:00+00:00,USDC,2,DeFiLlama,5116480.0,2005501.0,2012106.0678104868
2018-10-03 00:00:00+00:00,USDC,2,DeFiLlama,5116480.0,0.0,0.0
2018-10-04 00:00:00+00:00,USDC,2,DeFiLlama,6117444.0,1000964.0,1004260.5437375479
2018-10-05 00:00:00+00:00,USDC,2,DeFiLlama,8117358.0,1999914.0,2006500.588995582
2018-10-06 00:00:00+00:00,USDC,2,DeFiLlama,10342478.0,2225120.0,2232448.228055211
2018-10-07 00:00:00+00:00,USDC,2,DeFiLlama,10342478.0,0.0,0.0
2018-10-08 00:00:00+00:00,USDC,2,DeFiLlama,10342478.0,0.0,0.0
2018-10-09 00:00:00+00:00,USDC,2,DeFiLlama,10342447.0,-31.0,-31.102095954661404
2018-10-10 00:00:00+00:00,USDC,2,DeFiLlama,10744407.0,401960.0,403283.82890558784
2018-10-11 00:00:00+00:00,USDC,2,DeFiLlama,10751216.0,6809.0,6831.425359233783
2018-10-12 00:00:00+00:00,USDC,2,DeFiLlama,10978779.0,227563.0,228312.46612496706
2018-10-13 00:00:00+00:00,USDC,2,DeFiLlama,12178914.0,1200135.0,1204087.619665842
2018-10-14 00:00:00+00:00,USDC,2,DeFiLlama,12179914.0,1000.0,1003.2934551097816
2018-10-15 00:00:00+00:00,USDC,2,DeFiLlama,12179914.0,0.0,0.0
2018-10-16 00:00:00+00:00,USDC,2,DeFiLlama,23803534.0,11623620.0,11661901.445515612
2018-10-17 00:00:00+00:00,USDC,2,DeFiLlama,23813004.0,9470.0,9501.18859846494
2018-10-18 00:00:00+00:00,USDC,2,DeFiLlama,23817092.0,4088.0,4101.463726302102
2018-10-19 00:00:00+00:00,USDC,2,DeFiLlama,23832917.0,15825.0,15877.11850064346
2018-10-20 00:00:00+00:00,USDC,2,DeFiLlama,23835732.0,2815.0,2824.2710863673074
2018-10-21 00:00:00+00:00,USDC,2,DeFiLlama,23841602.0,5870.0,5889.332520943853
2018-10-22 00:00:00+00:00,USDC,2,DeFiLlama,23841602.0,0.0,0.0
