Date,USDT_Net_Mint_Burn_Units,USDC_Net_Mint_Burn_Units,DAI_Net_Mint_Burn_Units
2020-01-01 00:00:00+00:00,0.0,77917.0,382413.0
2020-01-02 00:00:00+00:00,2144000.0,-1705662.0,1131868.0
2020-01-03 00:00:00+00:00,1087919922.0,5023476.0,333323.0
2020-01-04 00:00:00+00:00,-5875547.0,-1075170.0,768372.0
2020-01-05 00:00:00+00:00,4197813.0,112110.0,164336.0
2020-01-06 00:00:00+00:00,-5829140.0,-979194.0,558599.0
2020-01-07 00:00:00+00:00,3952428.0,-4008441.0,3749481.0
2020-01-08 00:00:00+00:00,-6034812.0,-23647542.0,3030700.0
2020-01-09 00:00:00+00:00,-5324836.0,-20532999.0,843174.0
2020-01-10 00:00:00+00:00,12957591.0,-8051875.0,54867.0
2020-01-11 00:00:00+00:00,1399071.0,-3211750.0,1544697.0
2020-01-12 00:00:00+00:00,-15021803.0,-9628035.0,-227453.0
2020-01-13 00:00:00+00:00,8028510.0,304871.0,1357001.0
2020-01-14 00:00:00+00:00,1012480.0,-2025791.0,1037072.0
2020-01-15 00:00:00+00:00,-3833382.0,-15150826.0,1788655.0
2020-01-16 00:00:00+00:00,7606485.0,20113226.0,379206.0
2020-01-17 00:00:00+00:00,-8312675.0,-3677309.0,1558664.0
2020-01-18 00:00:00+00:00,2040052.0,-3699498.0,5230344.0
2020-01-19 00:00:00+00:00,-2043168.0,-472331.0,1298294.0
2020-01-20 00:00:00+00:00,4789416.0,353617.0,887705.0
2020-01-21 00:00:00+00:00,-1279285.0,55542.0,565534.0
2020-01-22 00:00:00+00:00,2145655.0,2777758.0,1471024.0
2020-01-23 00:00:00+00:00,-587024.0,10772088.0,1298083.0
2020-01-24 00:00:00+00:00,-3303424.0,-9077597.0,669240.0
2020-01-25 00:00:00+00:00,10167221.0,433886.0,574800.0
2020-01-26 00:00:00+00:00,-6102210.0,-123382.0,371755.0
2020-01-27 00:00:00+00:00,2080303.0,-337717.0,983250.0
2020-01-28 00:00:00+00:00,-8303540.0,-3161612.0,961527.0
2020-01-29 00:00:00+00:00,17734465.0,904453.0,2355917.0
2020-01-30 00:00:00+00:00,-18444925.0,968713.0,-150328.0
2020-01-31 00:00:00+00:00,1185369.0,-5383800.0,1555120.0
2020-02-01 00:00:00+00:00,-621355.0,-1664027.0,-202519.0
2020-02-02 00:00:00+00:00,2019484.0,-2244279.0,322202.0
2020-02-03 00:00:00+00:00,6333890.0,-228110.0,-699345.0
2020-02-04 00:00:00+00:00,6020101.0,-773379.0,952418.0
2020-02-05 00:00:00+00:00,-11963913.0,-1727494.0,2801739.0
2020-02-06 00:00:00+00:00,1598856.0,-9120993.0,935078.0
2020-02-07 00:00:00+00:00,-1121720.0,-37265.0,953633.0
2020-02-08 00:00:00+00:00,3269123.0,-2771693.0,1385140.0
2020-02-09 00:00:00+00:00,11235.0,-2429246.0,111758.0
2020-02-10 00:00:00+00:00,20801515.0,5014548.0,1738914.0
2020-02-11 00:00:00+00:00,-10289207.0,-4340287.0,187224.0
2020-02-12 00:00:00+00:00,-5543366.0,-1715086.0,932586.0
2020-02-13 00:00:00+00:00,-11431828.0,10136205.0,1524473.0
2020-02-14 00:00:00+00:00,2269435.0,-1358964.0,3614173.0
2020-02-15 00:00:00+00:00,4310704.0,332127.0,1406117.0
2020-02-16 00:00:00+00:00,-1435941.0,-272060.0,1159084.0
2020-02-17 00:00:00+00:00,5067867.0,1584074.0,2094559.0
2020-02-18 00:00:00+00:00,9358569.0,-532697.0,-709733.0
2020-02-19 00:00:00+00:00,-11226941.0,2322122.0,-4200528.0
2020-02-20 00:00:00+00:00,-2449571.0,1776276.0,-2116960.0
2020-02-21 00:00:00+00:00,4783235.0,-9235954.0,510224.0
2020-02-22 00:00:00+00:00,-1469925.0,-773611.0,674705.0
2020-02-23 00:00:00+00:00,-1059201.0,1527367.0,-669666.0
2020-02-24 00:00:00+00:00,9325418.0,-1411257.0,1265787.0
2020-02-25 00:00:00+00:00,-5227882.0,2617895.0,956181.0
2020-02-26 00:00:00+00:00,-4960678.0,1011022.0,2111724.0
2020-02-27 00:00:00+00:00,-4909716.0,2128057.0,-1516788.0
2020-02-28 00:00:00+00:00,11143626.0,12402859.0,-54152.0
2020-02-29 00:00:00+00:00,-5917951.0,2054204.0,-2403515.0
2020-03-01 00:00:00+00:00,-2875848.0,-198357.0,-750111.0
2020-03-02 00:00:00+00:00,5878380.0,1128734.0,-710807.0
2020-03-03 00:00:00+00:00,26621.0,11577178.0,-1299607.0
2020-03-04 00:00:00+00:00,3236218.0,11723523.0,464150.0
2020-03-05 00:00:00+00:00,3309172.0,-41045.0,28567.0
2020-03-06 00:00:00+00:00,-10705484.0,-6355615.0,-135164.0
2020-03-07 00:00:00+00:00,8743105.0,142099.0,3626958.0
2020-03-08 00:00:00+00:00,-4113183.0,1939855.0,541587.0
2020-03-09 00:00:00+00:00,-25286092.0,-3972596.0,-1223866.0
2020-03-10 00:00:00+00:00,37043738.0,-455747.0,-284743.0
2020-03-11 00:00:00+00:00,1290464.0,-2641355.0,-1111278.0
2020-03-12 00:00:00+00:00,10326032.0,10331619.0,1162163.0
2020-03-13 00:00:00+00:00,-3074997.0,50880220.0,-7022223.0
2020-03-14 00:00:00+00:00,32431188.0,45025964.0,-13774249.0
2020-03-15 00:00:00+00:00,-69733375.0,777554.0,-2496460.0
2020-03-16 00:00:00+00:00,22753089.0,40011329.0,2067898.0
2020-03-17 00:00:00+00:00,23766866.0,1660511.0,-4459558.0
2020-03-18 00:00:00+00:00,-11016275.0,20315971.0,-2468916.0
2020-03-19 00:00:00+00:00,-74861219.0,1553536.0,2721044.0
2020-03-20 00:00:00+00:00,63172055.0,23571874.0,-12801014.0
2020-03-21 00:00:00+00:00,47172171.0,-5088180.0,2930442.0
2020-03-22 00:00:00+00:00,-67306729.0,21563990.0,-1006258.0
2020-03-23 00:00:00+00:00,24119587.0,1470424.0,-1109172.0
2020-03-24 00:00:00+00:00,-336097.0,1094383.0,238653.0
2020-03-25 00:00:00+00:00,-11472279.0,18560708.0,586103.0
2020-03-26 00:00:00+00:00,17285317.0,-315404.0,-992806.0
2020-03-27 00:00:00+00:00,-4159842.0,-2887104.0,723425.0
2020-03-28 00:00:00+00:00,-14936967.0,-733261.0,-1239518.0
2020-03-29 00:00:00+00:00,6392143.0,3755898.0,1219369.0
2020-03-30 00:00:00+00:00,7246103.0,4742975.0,-138582.0
2020-03-31 00:00:00+00:00,4669874.0,-2639038.0,-630571.0
2020-04-01 00:00:00+00:00,-21112023.0,1982763.0,1590343.0
2020-04-02 00:00:00+00:00,16009333.0,2779066.0,772683.0
2020-04-03 00:00:00+00:00,2010433442.0,-2173769.0,1797050.0
2020-04-04 00:00:00+00:00,36688536.0,9169481.0,561543.0
2020-04-05 00:00:00+00:00,-4410992.0,-811697.0,62060.0
2020-04-06 00:00:00+00:00,16684017.0,-1831976.0,-286159.0
2020-04-07 00:00:00+00:00,-8862758.0,-14131667.0,325469.0
2020-04-08 00:00:00+00:00,-11455922.0,10909109.0,-5086662.0
2020-04-09 00:00:00+00:00,5248278.0,15896184.0,-1545119.0
2020-04-10 00:00:00+00:00,8960071.0,-1275735.0,600996.0
2020-04-11 00:00:00+00:00,8537002.0,-1191680.0,-389634.0
2020-04-12 00:00:00+00:00,-2149320.0,47129.0,884054.0
2020-04-13 00:00:00+00:00,2575368.0,6815098.0,-712245.0
2020-04-14 00:00:00+00:00,-18079955.0,8260450.0,341598.0
2020-04-15 00:00:00+00:00,10474746.0,9522412.0,40925.0
2020-04-16 00:00:00+00:00,-14738439.0,785411.0,472339.0
2020-04-17 00:00:00+00:00,28952290.0,-4138284.0,663940.0
2020-04-18 00:00:00+00:00,-12377288.0,-5923577.0,-169505.0
2020-04-19 00:00:00+00:00,-6662935.0,2876329.0,2158082.0
2020-04-20 00:00:00+00:00,21895716.0,-1955643.0,3298962.0
2020-04-21 00:00:00+00:00,-974891.0,9152329.0,1275916.0
2020-04-22 00:00:00+00:00,-13355685.0,-10943697.0,772026.0
2020-04-23 00:00:00+00:00,777388455.0,1179039.0,632854.0
2020-04-24 00:00:00+00:00,-31264974.0,5739518.0,3284973.0
2020-04-25 00:00:00+00:00,7456682.0,21854309.0,2123312.0
2020-04-26 00:00:00+00:00,15888334.0,2233954.0,675064.0
2020-04-27 00:00:00+00:00,14543527.0,-950903.0,772452.0
2020-04-28 00:00:00+00:00,9464854.0,-2830017.0,261727.0
2020-04-29 00:00:00+00:00,-14899491.0,-20915376.0,180333.0
2020-04-30 00:00:00+00:00,557645397.0,-5365090.0,2644936.0
2020-05-01 00:00:00+00:00,7516685.0,338454.0,730407.0
2020-05-02 00:00:00+00:00,93144551.0,-13735945.0,-1390942.0
2020-05-03 00:00:00+00:00,9021931.0,-1142815.0,8640905.0
2020-05-04 00:00:00+00:00,19113616.0,-1114563.0,2838260.0
2020-05-05 00:00:00+00:00,-29909312.0,446543.0,53602.0
2020-05-06 00:00:00+00:00,70249935.0,3346036.0,472272.0
2020-05-07 00:00:00+00:00,69729274.0,-2360489.0,-78374.0
2020-05-08 00:00:00+00:00,148118709.0,10245038.0,-411159.0
2020-05-09 00:00:00+00:00,76779326.0,-762301.0,-115236.0
2020-05-10 00:00:00+00:00,157589222.0,1007334.0,945443.0
2020-05-11 00:00:00+00:00,159793285.0,24717615.0,-2402231.0
2020-05-12 00:00:00+00:00,18470372.0,-1960187.0,-615893.0
2020-05-13 00:00:00+00:00,148486511.0,3311900.0,-624786.0
2020-05-14 00:00:00+00:00,-5749072.0,21360226.0,-578866.0
2020-05-15 00:00:00+00:00,173367387.0,-43492296.0,1257500.0
2020-05-16 00:00:00+00:00,57056628.0,924525.0,547722.0
2020-05-17 00:00:00+00:00,22481648.0,-2469044.0,688980.0
2020-05-18 00:00:00+00:00,88467195.0,1618042.0,814624.0
2020-05-19 00:00:00+00:00,-29398212.0,-1284720.0,2685176.0
2020-05-20 00:00:00+00:00,-21256967.0,1091283.0,306193.0
2020-05-21 00:00:00+00:00,24622419.0,7387492.0,5342444.0
2020-05-22 00:00:00+00:00,-12732081.0,-2627633.0,-894995.0
2020-05-23 00:00:00+00:00,-32196644.0,-844480.0,4877360.0
2020-05-24 00:00:00+00:00,8058801.0,879082.0,-2773603.0
2020-05-25 00:00:00+00:00,60176332.0,-2724325.0,-116788.0
2020-05-26 00:00:00+00:00,32078764.0,10017901.0,40016.0
2020-05-27 00:00:00+00:00,-4157376.0,272216.0,-733906.0
2020-05-28 00:00:00+00:00,14080214.0,1661346.0,127446.0
2020-05-29 00:00:00+00:00,19808535.0,4186352.0,185982.0
2020-05-30 00:00:00+00:00,11863428.0,1726223.0,1511306.0
2020-05-31 00:00:00+00:00,61102284.0,1104189.0,3805851.0
2020-06-01 00:00:00+00:00,-20842529.0,-14974170.0,4003147.0
2020-06-02 00:00:00+00:00,44202935.0,-2392356.0,-4154373.0
2020-06-03 00:00:00+00:00,80888140.0,11400452.0,-4169136.0
2020-06-04 00:00:00+00:00,11385815.0,-3604657.0,10573083.0
2020-06-05 00:00:00+00:00,41446088.0,1870687.0,-146360.0
2020-06-06 00:00:00+00:00,3059035.0,-1004745.0,349443.0
2020-06-07 00:00:00+00:00,13364192.0,2343083.0,-159273.0
2020-06-08 00:00:00+00:00,23618354.0,-1058182.0,3099515.0
2020-06-09 00:00:00+00:00,26014582.0,5453534.0,-185570.0
2020-06-10 00:00:00+00:00,19802281.0,-285117.0,-14036852.0
2020-06-11 00:00:00+00:00,57907775.0,-11239389.0,272207.0
2020-06-12 00:00:00+00:00,27553184.0,1072303.0,4324384.0
2020-06-13 00:00:00+00:00,50053426.0,-1411999.0,-1971573.0
2020-06-14 00:00:00+00:00,-4376273.0,9245037.0,-107178.0
2020-06-15 00:00:00+00:00,11670103.0,-246121.0,-4015069.0
2020-06-16 00:00:00+00:00,25143785.0,10079415.0,-3488641.0
2020-06-17 00:00:00+00:00,25906091.0,19392495.0,1163731.0
2020-06-18 00:00:00+00:00,5204471.0,31179836.0,1651273.0
2020-06-19 00:00:00+00:00,25104405.0,27691755.0,1307303.0
2020-06-20 00:00:00+00:00,39440585.0,51731459.0,4551186.0
2020-06-21 00:00:00+00:00,12777449.0,30165887.0,1460814.0
2020-06-22 00:00:00+00:00,-4946697.0,20765278.0,-476339.0
