Report_Date,Official_Report_Available,Composition_Available,Disclosure_Note
2020-03-31,False,False,Tether did not publish a quarterly reserve-composition report
2020-06-30,False,False,Tether did not publish a quarterly reserve-composition report
2020-09-30,False,False,Tether did not publish a quarterly reserve-composition report
2020-12-31,False,False,Tether did not publish a quarterly reserve-composition report
2021-03-31,True,False,official report without extractable category composition
2021-06-30,True,True,category composition extracted
2021-09-30,True,True,category composition extracted
2021-12-31,True,True,category composition extracted
2022-03-31,True,True,category composition extracted
2022-06-30,True,True,category composition extracted
2022-09-30,True,True,category composition extracted
2022-12-31,True,True,category composition extracted
2023-03-31,True,True,category composition extracted
2023-06-30,True,True,category composition extracted
2023-09-30,True,True,category composition extracted
2023-12-31,True,True,category composition extracted
2024-03-31,True,True,category composition extracted
2024-06-30,True,True,category composition extracted
2024-09-30,True,False,official report without extractable category composition
2024-12-31,True,True,category composition extracted
2025-03-31,True,True,category composition extracted
2025-06-30,True,True,category composition extracted
2025-09-30,True,True,category composition extracted
2025-12-31,True,True,category composition extracted
2026-03-31,True,True,category composition extracted
