Variable,Value
usdt__currency_iso,usdt
usdt__symbol,$
usdt__totaltokens_algo,841596.304841
usdt__reserve_balance_algo,0
usdt__quarantined_algo,0.0
usdt__totaltokens_aptos,1229832921.984195
usdt__reserve_balance_aptos,303152971.184195
usdt__quarantined_aptos,0.0
usdt__totaltokens_ava,1847205574.047338
usdt__reserve_balance_ava,1532919745.923598
usdt__quarantined_ava,0.0
usdt__totaltokens_bnb,0
usdt__reserve_balance_bnb,0
usdt__quarantined_bnb,0.0
usdt__totaltokens_celo,470000000.997
usdt__reserve_balance_celo,391110495.31719
usdt__quarantined_celo,0.0
usdt__totaltokens_cosmos,159997865.1663
usdt__reserve_balance_cosmos,101997965.0543
usdt__quarantined_cosmos,0.0
usdt__totaltokens_eth,92058581161.872547
usdt__reserve_balance_eth,3544858056.40291
usdt__quarantined_eth,0.0
usdt__totaltokens_eos,85251000.5
usdt__reserve_balance_eos,83527151.7944
usdt__quarantined_eos,0.0
usdt__totaltokens_kaia,249900001.0
usdt__reserve_balance_kaia,50899666.0
usdt__quarantined_kaia,0.0
usdt__totaltokens_liq,97561100.0
usdt__reserve_balance_liq,63849950.0
usdt__quarantined_liq,0.0
usdt__totaltokens_near,525944120.793709
usdt__reserve_balance_near,464044162.14815
usdt__quarantined_near,0.0
usdt__totaltokens_omni,887961971.795665
usdt__reserve_balance_omni,775616131.15141356
usdt__quarantined_omni,32303805.0
usdt__totaltokens_sol,3839923590.884302
usdt__reserve_balance_sol,400412797.999043
usdt__quarantined_sol,3698541.306464
usdt__totaltokens_slp,5987525.82017924
usdt__reserve_balance_slp,5001001.08358603
usdt__quarantined_slp,0.0
usdt__totaltokens_statemine,3499743.852107
usdt__reserve_balance_statemine,3259994.51
usdt__quarantined_statemine,0.0
usdt__totaltokens_statemint,77998643.43
usdt__reserve_balance_statemint,41001021.19
usdt__quarantined_statemint,0.0
usdt__totaltokens_tezos,141000001.0
usdt__reserve_balance_tezos,98722071.363774
usdt__quarantined_tezos,0.0
usdt__totaltokens_ton,1429976002.51
usdt__reserve_balance_ton,759187938.077658
usdt__quarantined_ton,0.0
usdt__totaltokens_tron,90283410493.37068
usdt__reserve_balance_tron,691142882.514759
usdt__quarantined_tron,0.0
usdt__total_assets,189515108791.5262
usdt__total_liabilities,184048166967.30742265
usdt__shareholder_eq,5466941824.21877735
usdt__id,1785286800
xaut__currency_iso,xaut
xaut__symbol,℥
xaut__totaltokens_algo,0
xaut__reserve_balance_algo,0
xaut__quarantined_algo,0.0
xaut__totaltokens_aptos,0
xaut__reserve_balance_aptos,0
xaut__quarantined_aptos,0.0
xaut__totaltokens_ava,0
xaut__reserve_balance_ava,0
xaut__quarantined_ava,0.0
xaut__totaltokens_bnb,12867.341267
xaut__reserve_balance_bnb,0
xaut__quarantined_bnb,0.0
xaut__totaltokens_celo,0
xaut__reserve_balance_celo,0
xaut__quarantined_celo,0.0
xaut__totaltokens_cosmos,0
xaut__reserve_balance_cosmos,0
xaut__quarantined_cosmos,0.0
xaut__totaltokens_eth,707747.089
xaut__reserve_balance_eth,94923.429468
xaut__quarantined_eth,0.0
xaut__totaltokens_eos,0.0
xaut__reserve_balance_eos,0.0
xaut__quarantined_eos,0.0
xaut__totaltokens_kaia,0
xaut__reserve_balance_kaia,0
xaut__quarantined_kaia,0.0
xaut__totaltokens_liq,0.0
xaut__reserve_balance_liq,0.0
xaut__quarantined_liq,0.0
xaut__totaltokens_near,0
xaut__reserve_balance_near,0
xaut__quarantined_near,0.0
xaut__totaltokens_omni,0
xaut__reserve_balance_omni,0
xaut__quarantined_omni,0.0
xaut__totaltokens_sol,0
xaut__reserve_balance_sol,0.0
xaut__quarantined_sol,0.0
xaut__totaltokens_slp,0
xaut__reserve_balance_slp,0
xaut__quarantined_slp,0.0
xaut__totaltokens_statemine,0.0
xaut__reserve_balance_statemine,0
xaut__quarantined_statemine,0.0
xaut__totaltokens_statemint,0.0
xaut__reserve_balance_statemint,0
xaut__quarantined_statemint,0.0
xaut__totaltokens_tezos,0
xaut__reserve_balance_tezos,0.0
xaut__quarantined_tezos,0.0
xaut__totaltokens_ton,0.0
xaut__reserve_balance_ton,0
xaut__quarantined_ton,0.0
xaut__totaltokens_tron,0
xaut__reserve_balance_tron,0
xaut__quarantined_tron,0.0
xaut__total_assets,707747.089
xaut__total_liabilities,707747.089
xaut__shareholder_eq,0.0
xaut__id,1785286800
mxnt__currency_iso,mxnt
mxnt__symbol,$
mxnt__totaltokens_algo,0
mxnt__reserve_balance_algo,0
mxnt__quarantined_algo,0.0
mxnt__totaltokens_aptos,0
mxnt__reserve_balance_aptos,0
mxnt__quarantined_aptos,0.0
mxnt__totaltokens_ava,0
mxnt__reserve_balance_ava,0
mxnt__quarantined_ava,0.0
mxnt__totaltokens_bnb,0
mxnt__reserve_balance_bnb,0
mxnt__quarantined_bnb,0.0
mxnt__totaltokens_celo,0
mxnt__reserve_balance_celo,0
mxnt__quarantined_celo,0.0
mxnt__totaltokens_cosmos,0
mxnt__reserve_balance_cosmos,0
mxnt__quarantined_cosmos,0.0
mxnt__totaltokens_eth,20000000.0
mxnt__reserve_balance_eth,437600.0
mxnt__quarantined_eth,0.0
mxnt__totaltokens_eos,0.0
mxnt__reserve_balance_eos,0.0
mxnt__quarantined_eos,0.0
mxnt__totaltokens_kaia,0
mxnt__reserve_balance_kaia,0
mxnt__quarantined_kaia,0.0
mxnt__totaltokens_liq,0.0
mxnt__reserve_balance_liq,0.0
mxnt__quarantined_liq,0.0
mxnt__totaltokens_near,0
mxnt__reserve_balance_near,0
mxnt__quarantined_near,0.0
mxnt__totaltokens_omni,0
mxnt__reserve_balance_omni,0
mxnt__quarantined_omni,0.0
mxnt__totaltokens_sol,0
mxnt__reserve_balance_sol,0.0
mxnt__quarantined_sol,0.0
mxnt__totaltokens_slp,0
mxnt__reserve_balance_slp,0
mxnt__quarantined_slp,0.0
mxnt__totaltokens_statemine,0.0
mxnt__reserve_balance_statemine,0
mxnt__quarantined_statemine,0.0
mxnt__totaltokens_statemint,0.0
mxnt__reserve_balance_statemint,0
mxnt__quarantined_statemint,0.0
mxnt__totaltokens_tezos,0
mxnt__reserve_balance_tezos,0.0
mxnt__quarantined_tezos,0.0
mxnt__totaltokens_ton,0
mxnt__reserve_balance_ton,0
mxnt__quarantined_ton,0.0
mxnt__totaltokens_tron,0.0
mxnt__reserve_balance_tron,0.0
mxnt__quarantined_tron,0.0
mxnt__total_assets,19562400.0
mxnt__total_liabilities,19562400.0
mxnt__shareholder_eq,0.0
mxnt__id,1785286800
