Date,JPM5YUSAX=R_MID_O_SPD,JPM5YUSAX=R_MID_H_SPD,JPM5YUSAX=R_MID_L_SPD,JPM5YUSAX=R_PAR_MID1,BAC5YUSAX=R_MID_O_SPD,BAC5YUSAX=R_MID_H_SPD,BAC5YUSAX=R_MID_L_SPD,BAC5YUSAX=R_PAR_MID1,C5YUSAX=R_MID_O_SPD,C5YUSAX=R_MID_H_SPD,C5YUSAX=R_MID_L_SPD,C5YUSAX=R_PAR_MID1,JPMorgan_5Y_CDS_bps,Bank_of_America_5Y_CDS_bps,Citigroup_5Y_CDS_bps
2020-01-02,32.63,33.01,32.6,32.6,36.64,36.65,36.54,36.54,42.62,43.12,42.01,42.01,32.6,36.54,42.01
2020-01-03,32.69,35.23,32.69,35.23,36.7,37.86,36.7,37.86,41.68,43.24,41.68,43.24,35.23,37.86,43.24
2020-01-06,35.73,36.71,35.73,36.71,37.74,38.81,37.74,38.81,42.72,44.35,42.72,44.35,36.71,38.81,44.35
2020-01-07,36.64,36.71,36.64,36.71,38.65,38.82,38.65,38.82,43.64,44.5,43.64,44.5,36.71,38.82,44.5
2020-01-08,36.61,36.61,35.87,35.87,38.62,38.62,38.48,38.48,44.6,44.6,44.49,44.49,35.87,38.48,44.49
2020-01-09,35.56,35.56,34.1,34.1,38.57,38.57,36.59,36.59,44.56,44.56,43.31,43.31,34.1,36.59,43.31
2020-01-10,33.63,33.63,33.13,33.13,36.64,36.64,35.86,35.86,43.62,43.62,42.32,42.32,33.13,35.86,42.32
2020-01-13,32.63,33.71,32.63,33.71,35.65,36.5,35.65,36.5,42.63,42.65,42.63,42.65,33.71,36.5,42.65
2020-01-14,33.58,33.58,33.53,33.53,36.6,36.6,35.81,35.81,42.58,42.58,42.0,42.0,33.53,35.81,42.0
2020-01-15,33.58,33.58,33.58,33.58,36.6,36.6,35.9,35.9,42.58,42.58,42.05,42.05,33.58,35.9,42.05
2020-01-16,33.63,33.63,32.7,32.7,35.64,35.64,34.05,34.05,41.63,41.63,40.83,40.83,32.7,34.05,40.83
2020-01-17,32.57,32.57,32.55,32.55,33.59,33.7,33.59,33.7,40.58,40.58,40.49,40.49,32.55,33.7,40.49
2020-01-20,32.59,32.59,32.56,32.56,33.61,33.71,33.61,33.71,40.58,40.58,40.5,40.5,32.56,33.71,40.5
2020-01-21,32.61,32.61,32.48,32.48,33.62,33.98,33.62,33.98,40.61,40.61,40.58,40.58,32.48,33.98,40.58
2020-01-22,32.66,32.66,32.35,32.35,33.68,33.84,33.68,33.84,40.66,40.66,40.0,40.0,32.35,33.84,40.0
2020-01-23,32.6,32.63,32.6,32.63,33.61,34.04,33.61,34.04,39.6,40.08,39.6,40.08,32.63,34.04,40.08
2020-01-24,32.63,33.51,32.63,33.51,33.65,35.99,33.65,35.99,39.64,42.14,39.64,42.14,33.51,35.99,42.14
2020-01-27,33.64,35.03,33.64,35.03,35.65,38.35,35.65,38.35,41.63,44.68,41.63,44.68,35.03,38.35,44.68
2020-01-28,34.71,34.71,33.12,33.12,37.72,37.72,36.04,36.04,43.69,43.69,42.65,42.65,33.12,36.04,42.65
2020-01-29,32.53,33.14,32.53,33.14,35.54,35.97,35.54,35.97,42.53,42.53,41.92,41.92,33.14,35.97,41.92
2020-01-30,32.66,33.29,32.66,33.29,35.67,36.12,35.67,36.12,41.65,42.27,41.65,42.27,33.29,36.12,42.27
2020-01-31,32.59,34.8,32.59,34.8,35.6,37.09,35.6,37.09,41.59,43.82,41.59,43.82,34.8,37.09,43.82
2020-02-03,34.7,34.7,34.57,34.57,36.71,36.76,36.71,36.76,42.68,43.24,42.68,43.24,34.57,36.76,43.24
2020-02-04,34.52,34.52,32.47,32.47,36.54,36.54,34.72,34.72,42.53,42.53,40.85,40.85,32.47,34.72,40.85
2020-02-05,32.46,32.46,31.42,31.42,34.47,34.47,33.43,33.43,40.47,40.47,38.91,38.91,31.42,33.43,38.91
2020-02-06,31.49,31.49,31.21,31.21,33.5,33.5,33.45,33.45,38.5,38.55,38.5,38.55,31.21,33.45,38.55
2020-02-07,,,,30.7,,,,32.81,,,,38.53,30.7,32.81,38.53
2020-02-10,30.62,30.73,30.62,30.73,32.64,32.75,32.64,32.75,38.63,38.63,38.38,38.38,30.73,32.75,38.38
2020-02-11,30.59,30.59,30.46,30.46,32.61,32.61,32.38,32.38,38.6,38.6,37.5,37.5,30.46,32.38,37.5
2020-02-12,30.5,30.5,29.6,29.6,32.5,32.5,32.25,32.25,37.51,37.51,37.35,37.35,29.6,32.25,37.35
2020-02-13,29.47,29.56,29.47,29.56,32.49,32.49,32.29,32.29,37.48,37.49,37.48,37.49,29.56,32.29,37.49
2020-02-14,29.47,29.61,29.47,29.61,32.49,32.49,32.43,32.43,37.48,37.5,37.48,37.5,29.61,32.43,37.5
2020-02-17,29.57,29.6,29.57,29.6,32.59,32.59,32.41,32.41,37.58,37.58,37.48,37.48,29.6,32.41,37.48
2020-02-18,29.55,30.1,29.55,30.1,32.56,33.52,32.56,33.52,37.56,38.28,37.56,38.28,30.1,33.52,38.28
2020-02-19,29.59,30.02,29.59,30.02,33.61,33.61,33.3,33.3,38.59,38.59,37.74,37.74,30.02,33.3,37.74
2020-02-20,29.52,30.92,29.52,30.92,33.54,33.9,33.54,33.9,37.53,38.85,37.53,38.85,30.92,33.9,38.85
2020-02-21,30.6,32.41,30.6,32.41,33.62,35.13,33.62,35.13,38.61,40.3,38.61,40.3,32.41,35.13,40.3
2020-02-24,32.62,38.08,32.62,38.08,34.63,40.92,34.63,40.92,40.62,47.22,40.62,47.22,38.08,40.92,47.22
2020-02-25,38.68,40.07,38.68,40.07,40.69,44.39,40.69,44.39,46.66,51.09,46.66,51.09,40.07,44.39,51.09
2020-02-26,39.53,41.56,39.53,41.56,43.54,46.71,43.54,46.71,49.52,53.09,49.52,53.09,41.56,46.71,53.09
