Date,BK.N,STT.N,JPM.N,BAC.N,C.N
2020-01-02,50.92,80.76,141.09,35.64,81.23
2020-01-03,50.27,79.57,138.34,34.9,79.7
2020-01-06,50.74,80.79,138.23,34.85,79.45
2020-01-07,51.25,81.91,135.88,34.62,78.76
2020-01-08,51.31,81.49,136.94,34.97,79.36
2020-01-09,51.48,82.92,137.44,35.03,80.08
2020-01-10,50.54,81.69,136.07,34.74,79.25
2020-01-13,50.88,82.08,137.2,35.06,80.65
2020-01-14,51.01,81.53,138.8,35.32,81.91
2020-01-15,50.69,81.21,136.72,34.67,81.24
2020-01-16,46.72,81.14,137.25,34.72,81.0
2020-01-17,46.18,82.56,138.2,34.71,81.12
2020-01-21,46.78,81.31,136.84,34.26,79.9
2020-01-22,46.73,80.54,136.68,34.36,80.1
2020-01-23,47.02,80.46,136.54,34.12,79.8
2020-01-24,45.95,78.34,133.15,33.54,78.42
2020-01-27,45.05,75.45,132.03,32.85,76.71
2020-01-28,44.97,76.5,134.43,33.24,77.24
2020-01-29,44.46,76.23,134.23,33.01,76.48
2020-01-30,45.4,77.61,135.89,33.48,77.43
2020-01-31,44.78,75.63,132.36,32.83,74.41
2020-02-03,45.21,76.09,133.37,32.97,75.13
2020-02-04,45.95,77.74,135.29,33.62,76.5
2020-02-05,46.98,80.04,137.59,34.71,78.85
2020-02-06,47.54,80.27,137.61,34.67,78.97
2020-02-07,47.25,79.14,137.17,34.61,78.69
2020-02-10,46.49,79.13,137.74,34.69,78.48
2020-02-11,46.42,79.78,138.0,34.77,79.09
2020-02-12,46.56,80.43,138.0,34.92,79.33
2020-02-13,46.03,78.85,137.88,34.91,79.0
2020-02-14,45.9,77.85,137.46,34.85,78.79
2020-02-18,45.29,76.88,135.64,34.27,77.58
2020-02-19,45.92,78.76,137.49,34.72,78.05
2020-02-20,45.83,77.89,137.49,34.85,78.22
2020-02-21,45.04,77.13,135.81,34.36,76.44
2020-02-24,43.13,74.01,132.16,32.73,72.53
2020-02-25,41.59,70.85,126.26,31.08,69.43
2020-02-26,41.37,70.14,126.64,30.63,68.18
2020-02-27,40.96,69.38,121.37,29.13,64.45
2020-02-28,39.9,68.11,116.11,28.5,63.46
2020-03-02,40.96,68.69,121.52,29.37,67.59
2020-03-03,38.83,65.85,116.96,27.75,65.05
2020-03-04,40.5,67.0,119.85,28.39,67.39
2020-03-05,39.3,62.4,113.97,26.78,63.49
2020-03-06,38.07,60.13,108.08,25.71,61.28
2020-03-09,34.95,52.66,93.44,21.93,51.37
2020-03-10,36.55,56.73,100.7,23.61,55.58
2020-03-11,34.2,54.19,95.96,22.67,50.79
2020-03-12,29.52,48.12,88.05,20.51,43.26
2020-03-13,34.13,58.86,103.91,24.16,51.04
2020-03-16,29.18,47.72,88.36,20.44,41.19
2020-03-17,29.97,49.93,93.76,21.98,40.25
2020-03-18,28.76,45.22,83.89,20.79,36.43
2020-03-19,30.0,46.63,85.3,21.2,39.64
2020-03-20,29.07,46.67,83.5,19.67,38.06
2020-03-23,27.49,43.21,79.03,18.08,35.39
2020-03-24,31.0,48.57,88.43,21.03,40.66
2020-03-25,31.64,49.38,91.73,21.1,41.86
2020-03-26,33.0,49.42,98.12,22.72,46.02
2020-03-27,32.54,48.66,91.13,21.6,43.8
2020-03-30,34.0,51.77,93.5,22.04,44.08
2020-03-31,33.68,53.27,90.03,21.23,42.12
2020-04-01,32.7,50.4,84.36,19.77,38.51
2020-04-02,33.64,52.42,87.51,20.57,39.23
2020-04-03,33.75,52.16,84.05,20.03,37.49
2020-04-06,35.24,55.55,89.46,21.39,41.12
2020-04-07,34.8,56.13,90.64,22.14,41.25
2020-04-08,35.65,58.56,94.3,23.45,44.26
2020-04-09,37.14,60.95,102.76,24.86,47.41
2020-04-13,36.0,59.44,98.19,23.92,46.68
2020-04-14,36.34,60.61,95.5,23.73,45.42
2020-04-15,34.63,57.07,90.79,22.19,42.86
2020-04-16,36.14,58.5,87.33,21.42,40.52
2020-04-17,37.39,58.49,95.18,23.28,45.45
2020-04-20,36.41,58.18,91.71,22.5,44.01
2020-04-21,35.21,55.99,89.05,21.64,41.57
2020-04-22,35.52,57.47,89.34,21.8,42.24
2020-04-23,35.32,57.05,89.39,21.87,42.46
2020-04-24,35.76,57.41,90.71,22.18,43.1
2020-04-27,36.94,61.29,94.62,23.47,46.56
2020-04-28,37.4,62.75,95.29,23.89,47.21
2020-04-29,38.02,64.46,97.86,24.78,50.26
2020-04-30,37.54,63.04,95.76,24.05,48.56
2020-05-01,36.0,59.08,93.25,23.08,45.52
2020-05-04,35.54,58.4,92.14,22.93,45.12
2020-05-05,35.14,58.08,92.0,22.66,43.95
2020-05-06,34.5,56.33,90.27,22.35,42.95
2020-05-07,34.85,58.24,91.21,22.84,44.64
