Date,Government_MMF_Net_Flow_USD
2020-01-31,-12714923466.189941
2020-02-29,17408867553.0
2020-03-31,863151205096.2295
2020-04-30,405022603724.96045
2020-05-31,-32331467446.740234
2020-06-30,-177866570532.70947
2020-07-31,-63477572807.09033
2020-08-31,-15537071103.29004
2020-09-30,54837683397.04004
2020-10-31,-101460471809.82959
2020-11-30,79472664785.15967
2020-12-31,-36123636840.02002
2021-01-31,-350946535.1298828
2021-02-28,64221717164.32959
2021-03-31,190054655305.95996
2021-04-30,33761344803.070312
2021-05-31,40730120161.33008
2021-06-30,15712978899.080078
2021-07-31,-100628461799.96045
2021-08-31,57046067379.05029
2021-09-30,-23681961778.090332
2021-10-31,70367344501.8003
2021-11-30,96917994966.33984
2021-12-31,115834046876.0503
2022-01-31,-117504221376.14014
2022-02-28,21635472239.75
2022-03-31,-82696046404.52002
2022-04-30,-51341109271.93994
2022-05-31,-63501733752.86963
2022-06-30,33015907800.589844
2022-07-31,17615206980.45996
2022-08-31,-59646868389.84033
2022-09-30,-6630100535.919922
2022-10-31,15981718673.470215
2022-11-30,-32107276760.280273
2022-12-31,52758778382.240234
2023-01-31,-35437421504.72998
2023-02-28,-2314913827.0200195
2023-03-31,426236038244.03076
2023-04-30,34202760086.039062
2023-05-31,86340855947.61035
2023-06-30,37302823977.88965
2023-07-31,41233451674.009766
2023-08-31,85808560914.4502
2023-09-30,55890035317.38965
2023-10-31,-60516473141.13965
2023-11-30,191134185214.33008
2023-12-31,53772604703.12988
2024-01-31,32818885954.33008
2024-02-29,27123329554.38965
2024-03-31,-61833713974.30957
2024-04-30,-43252452890.87012
2024-05-31,94406315686.27051
2024-06-30,230256525216.35938
2024-07-31,86732174826.53027
2024-08-31,82683778012.72949
2024-09-30,234186460298.53027
2024-10-31,22333782799.719727
2024-11-30,189232671871.43066
2024-12-31,80103309253.12012
2025-01-31,47670371215.2793
2025-02-28,45448186045.01074
2025-03-31,25623094824.04004
2025-04-30,-76422655716.16016
2025-05-31,51771133158.96973
2025-06-30,83828511717.58984
2025-07-31,-17112032149.379883
2025-08-31,158549904569.13965
2025-09-30,52818648579.94043
2025-10-31,142220869536.36035
2025-11-30,123674666540.54004
2025-12-31,239085915669.9297
2026-01-31,-94121714832.61035
2026-02-28,103037503003.81055
2026-03-31,-98904240594.27051
2026-04-30,-57883088544.2793
2026-05-31,219125804966.91992
2026-06-30,-22933185855.0
