Date,Government_MMF_Total_AUM_USD
2020-01-31,2769408466525.81
2020-02-29,2786817334078.81
2020-03-31,3649968539175.0396
2020-04-30,4054991142900.0
2020-05-31,4022659675453.26
2020-06-30,3844793104920.5503
2020-07-31,3781315532113.46
2020-08-31,3765778461010.17
2020-09-30,3820616144407.21
2020-10-31,3719155672597.3804
2020-11-30,3798628337382.54
2020-12-31,3762504700542.52
2021-01-31,3762153754007.39
2021-02-28,3826375471171.7197
2021-03-31,4016430126477.6797
2021-04-30,4050191471280.75
2021-05-31,4090921591442.08
2021-06-30,4106634570341.16
2021-07-31,4006006108541.1997
2021-08-31,4063052175920.25
2021-09-30,4039370214142.1597
2021-10-31,4109737558643.96
2021-11-30,4206655553610.3
2021-12-31,4322489600486.35
2022-01-31,4204985379110.21
2022-02-28,4226620851349.96
2022-03-31,4143924804945.44
2022-04-30,4092583695673.5
2022-05-31,4029081961920.6304
2022-06-30,4062097869721.22
2022-07-31,4079713076701.68
2022-08-31,4020066208311.84
2022-09-30,4013436107775.92
2022-10-31,4029417826449.39
2022-11-30,3997310549689.11
2022-12-31,4050069328071.35
2023-01-31,4014631906566.62
2023-02-28,4012316992739.6
2023-03-31,4438553030983.631
2023-04-30,4472755791069.67
2023-05-31,4559096647017.28
2023-06-30,4596399470995.17
2023-07-31,4637632922669.18
2023-08-31,4723441483583.63
2023-09-30,4779331518901.02
2023-10-31,4718815045759.88
2023-11-30,4909949230974.21
2023-12-31,4963721835677.34
2024-01-31,4996540721631.67
2024-02-29,5023664051186.06
2024-03-31,4961830337211.75
2024-04-30,4918577884320.88
2024-05-31,5012984200007.15
2024-06-30,5243240725223.51
2024-07-31,5329972900050.04
2024-08-31,5412656678062.77
2024-09-30,5646843138361.3
2024-10-31,5669176921161.02
2024-11-30,5858409593032.45
2024-12-31,5938512902285.57
2025-01-31,5986183273500.85
2025-02-28,6031631459545.86
2025-03-31,6057254554369.9
2025-04-30,5980831898653.74
2025-05-31,6032603031812.71
2025-06-30,6116431543530.3
2025-07-31,6099319511380.92
2025-08-31,6257869415950.06
2025-09-30,6310688064530.0
2025-10-31,6452908934066.36
2025-11-30,6576583600606.9
2025-12-31,6815669516276.83
2026-01-31,6721547801444.22
2026-02-28,6824585304448.03
2026-03-31,6725681063853.76
2026-04-30,6667797975309.48
2026-05-31,6886923780276.4
2026-06-30,6863990594421.4
