Date,TRDPRC_1
2020-01-02,114.12
2020-01-03,112.48
2020-01-06,111.87
2020-01-07,111.11
2020-01-08,111.74
2020-01-09,112.35
2020-01-10,111.14
2020-01-13,111.82
2020-01-14,111.97
2020-01-15,110.07
2020-01-16,110.52
2020-01-17,110.92
2020-01-21,109.71
2020-01-22,109.91
2020-01-23,109.8
2020-01-24,107.7
2020-01-27,105.73
2020-01-28,106.86
2020-01-29,105.86
2020-01-30,107.03
2020-01-31,104.75
2020-02-03,105.69
2020-02-04,107.39
2020-02-05,110.02
2020-02-06,109.33
2020-02-07,108.67
2020-02-10,108.59
2020-02-11,109.36
2020-02-12,109.51
2020-02-13,109.56
2020-02-14,109.23
2020-02-18,107.45
2020-02-19,108.89
2020-02-20,109.36
2020-02-21,108.01
2020-02-24,104.17
2020-02-25,99.5
2020-02-26,98.04
2020-02-27,93.92
2020-02-28,91.62
2020-03-02,95.52
2020-03-03,91.11
2020-03-04,93.23
2020-03-05,87.86
2020-03-06,83.88
2020-03-09,72.22
2020-03-10,77.5
2020-03-11,72.48
2020-03-12,64.93
2020-03-13,74.55
2020-03-16,62.47
2020-03-17,66.18
2020-03-18,60.72
2020-03-19,63.1
2020-03-20,60.56
2020-03-23,56.19
2020-03-24,63.21
2020-03-25,64.63
2020-03-26,69.84
2020-03-27,67.61
2020-03-30,67.88
2020-03-31,65.45
2020-04-01,60.93
2020-04-02,62.33
2020-04-03,60.19
2020-04-06,65.68
2020-04-07,67.03
2020-04-08,70.46
2020-04-09,75.26
2020-04-13,72.29
2020-04-14,71.25
2020-04-15,66.78
2020-04-16,64.57
2020-04-17,70.0
2020-04-20,69.15
2020-04-21,66.56
2020-04-22,67.18
2020-04-23,67.58
2020-04-24,69.03
2020-04-27,72.93
2020-04-28,74.07
2020-04-29,77.28
2020-04-30,74.37
2020-05-01,70.97
2020-05-04,70.17
2020-05-05,69.13
2020-05-06,67.77
2020-05-07,69.16
2020-05-08,71.14
2020-05-11,68.51
2020-05-12,65.83
2020-05-13,62.74
2020-05-14,65.2
2020-05-15,64.19
2020-05-18,69.26
2020-05-19,66.82
2020-05-20,69.07
2020-05-21,68.6
2020-05-22,68.0
2020-05-26,73.86
2020-05-27,78.8
2020-05-28,76.12
2020-05-29,74.41
2020-06-01,75.86
2020-06-02,76.39
2020-06-03,80.38
2020-06-04,83.59
2020-06-05,87.39
2020-06-08,89.71
2020-06-09,87.66
2020-06-10,82.38
2020-06-11,74.97
2020-06-12,77.94
2020-06-15,79.08
2020-06-16,80.81
2020-06-17,78.96
2020-06-18,78.94
2020-06-19,78.57
2020-06-22,77.85
2020-06-23,78.2
2020-06-24,74.43
2020-06-25,76.92
2020-06-26,71.97
2020-06-29,72.99
2020-06-30,74.53
2020-07-01,72.51
2020-07-02,72.57
2020-07-06,73.89
2020-07-07,71.49
2020-07-08,72.13
2020-07-09,69.65
2020-07-10,73.33
2020-07-13,74.02
2020-07-14,72.82
2020-07-15,75.15
2020-07-16,74.96
2020-07-17,73.11
2020-07-20,72.44
2020-07-21,75.26
2020-07-22,74.76
2020-07-23,75.88
2020-07-24,75.55
2020-07-27,74.38
2020-07-28,74.17
2020-07-29,76.49
2020-07-30,74.77
2020-07-31,74.49
2020-08-03,74.47
2020-08-04,74.11
2020-08-05,75.39
2020-08-06,75.05
2020-08-07,77.42
2020-08-10,78.24
2020-08-11,80.06
2020-08-12,79.56
2020-08-13,78.28
2020-08-14,78.94
2020-08-17,77.27
2020-08-18,75.86
2020-08-19,75.98
2020-08-20,74.58
2020-08-21,74.21
2020-08-24,76.91
2020-08-25,77.35
2020-08-26,76.07
2020-08-27,77.89
2020-08-28,78.35
2020-08-31,76.72
2020-09-01,76.99
2020-09-02,78.15
2020-09-03,77.54
2020-09-04,79.23
2020-09-08,76.47
2020-09-09,76.56
2020-09-10,75.29
2020-09-11,76.34
2020-09-14,77.73
2020-09-15,76.1
2020-09-16,77.43
2020-09-17,76.67
2020-09-18,76.27
2020-09-21,73.33
2020-09-22,71.62
2020-09-23,69.87
2020-09-24,70.08
2020-09-25,71.08
2020-09-28,73.22
2020-09-29,72.1
2020-09-30,73.09
2020-10-01,73.3
2020-10-02,74.73
2020-10-05,77.03
2020-10-06,76.31
2020-10-07,78.57
2020-10-08,79.82
2020-10-09,79.55
2020-10-12,80.51
2020-10-13,78.22
2020-10-14,76.81
2020-10-15,78.09
2020-10-16,78.07
2020-10-19,77.0
2020-10-20,78.25
2020-10-21,77.47
2020-10-22,80.37
2020-10-23,80.97
2020-10-26,79.0
2020-10-27,76.64
2020-10-28,74.79
2020-10-29,76.0
2020-10-30,76.93
2020-11-02,78.94
2020-11-03,81.07
2020-11-04,77.0
2020-11-05,80.17
2020-11-06,78.52
2020-11-09,89.1
2020-11-10,89.16
2020-11-11,87.66
2020-11-12,85.64
2020-11-13,87.53
2020-11-16,90.38
2020-11-17,90.08
2020-11-18,89.04
2020-11-19,89.54
2020-11-20,88.28
2020-11-23,90.26
2020-11-24,95.07
2020-11-25,94.06
2020-11-27,93.08
2020-11-30,90.34
2020-12-01,92.53
2020-12-02,93.99
2020-12-03,94.09
2020-12-04,95.62
2020-12-07,95.01
2020-12-08,94.86
2020-12-09,95.06
2020-12-10,95.5
2020-12-11,94.19
2020-12-14,92.72
2020-12-15,94.43
2020-12-16,94.77
2020-12-17,94.61
2020-12-18,93.49
2020-12-21,95.18
2020-12-22,94.11
2020-12-23,96.83
2020-12-24,96.39
2020-12-28,96.91
2020-12-29,96.1
2020-12-30,96.82
2020-12-31,97.91
2021-01-04,96.96
2021-01-05,98.1
2021-01-06,104.78
2021-01-07,107.25
2021-01-08,106.31
2021-01-11,107.47
2021-01-12,109.12
2021-01-13,108.55
2021-01-14,110.43
2021-01-15,106.92
2021-01-19,107.39
2021-01-20,105.47
2021-01-21,103.98
2021-01-22,103.78
2021-01-25,102.8
2021-01-26,101.63
2021-01-27,98.06
2021-01-28,100.3
2021-01-29,97.78
2021-02-01,98.77
2021-02-02,101.42
2021-02-03,103.12
2021-02-04,106.35
2021-02-05,106.28
2021-02-08,108.08
2021-02-09,108.03
2021-02-10,108.06
2021-02-11,107.37
2021-02-12,108.59
2021-02-16,111.79
2021-02-17,112.23
2021-02-18,111.3
2021-02-19,113.92
2021-02-22,115.52
2021-02-23,116.55
2021-02-24,119.78
2021-02-25,116.57
2021-02-26,113.4
2021-03-01,117.23
2021-03-02,116.45
2021-03-03,117.63
2021-03-04,116.34
2021-03-05,118.31
2021-03-08,120.75
2021-03-09,118.4
2021-03-10,121.36
2021-03-11,121.24
2021-03-12,123.35
2021-03-15,122.33
2021-03-16,120.71
2021-03-17,121.81
2021-03-18,123.32
2021-03-19,121.29
2021-03-22,118.52
2021-03-23,116.06
2021-03-24,116.07
2021-03-25,119.35
2021-03-26,121.67
2021-03-29,118.87
2021-03-30,121.36
2021-03-31,120.14
2021-04-01,121.4
2021-04-05,121.89
2021-04-06,121.66
2021-04-07,122.22
2021-04-08,121.92
2021-04-09,123.24
2021-04-12,124.01
2021-04-13,121.99
2021-04-14,123.7
2021-04-15,122.45
2021-04-16,123.01
2021-04-19,122.55
2021-04-20,119.05
2021-04-21,121.4
2021-04-22,119.59
2021-04-23,123.01
2021-04-26,124.34
2021-04-27,125.59
2021-04-28,126.44
2021-04-29,128.96
2021-04-30,127.25
2021-05-03,127.5
2021-05-04,129.28
2021-05-05,130.66
2021-05-06,132.17
2021-05-07,132.77
2021-05-10,132.46
2021-05-11,130.97
2021-05-12,128.85
2021-05-13,131.61
2021-05-14,133.69
2021-05-17,134.54
2021-05-18,132.19
2021-05-19,131.04
2021-05-20,130.59
2021-05-21,132.3
2021-05-24,132.72
2021-05-25,130.95
2021-05-26,131.9
2021-05-27,133.84
2021-05-28,133.62
2021-06-01,134.82
2021-06-02,134.2
2021-06-03,134.25
2021-06-04,134.04
2021-06-07,133.59
2021-06-08,133.12
2021-06-09,131.11
2021-06-10,128.72
2021-06-11,129.28
2021-06-14,127.25
2021-06-15,127.92
2021-06-16,128.61
2021-06-17,122.31
2021-06-18,119.16
2021-06-21,122.61
2021-06-22,122.64
2021-06-23,123.33
2021-06-24,125.23
2021-06-25,127.35
2021-06-28,125.73
2021-06-29,124.52
