OFR MMF Monitor Data

Date,"Prime","Prime Institutional","Prime Retail","Government (No Fees & Gates)","Government","Government (Fees & Gates)","Tax Exempt","Tax Exempt Retail","Tax Exempt Institutional"
1/31/2011,1808120975959.29,0,0,0,828677966305.05,0,375003188771.66,0,0
2/28/2011,1816560460030.53,0,0,0,828914464432.2,0,370031482872.12,0,0
3/31/2011,1787647882583.92,0,0,0,828185239823.82,0,363715696651.02,0,0
4/30/2011,1851013185060.3,0,0,0,804668103960.97,0,358038789683.78,0,0
5/31/2011,1838596807302.53,0,0,0,826839127291.26,0,353817234302.89,0,0
6/30/2011,1721668390338.81,0,0,0,836718974364.51,0,341813969182.55,0,0
7/31/2011,1649398016137.62,0,0,0,756489642264.53,0,327809250559.84,0,0
8/31/2011,1722448590488.25,0,0,0,925104578221.7,0,311614323972.1,0,0
9/30/2011,1663888203983.4,0,0,0,913212868339.7,0,303064473650.74,0,0
10/31/2011,1661208355808.55,0,0,0,933219253493.43,0,297347228184.75,0,0
11/30/2011,1656001419349.77,0,0,0,988716487465.89,0,295610168832.76,0,0
12/31/2011,1633493094045.96,0,0,0,976967013652.69,0,301726193474.85,0,0
1/31/2012,1661055939996.52,0,0,0,986574333764.36,0,302858088879.62,0,0
2/29/2012,1716213879126.85,0,0,0,963720237812.98,0,302155874260.95,0,0
3/31/2012,1659288304089.54,0,0,0,915255278186.83,0,295935380525.59,0,0
4/30/2012,1697537371086.42,0,0,0,910283832931.29,0,283254895587.45,0,0
5/31/2012,1685868576105.17,0,0,0,902893439639.83,0,282672931058.52,0,0
6/30/2012,1646286598231.18,0,0,0,896224702222.1,0,284165219388.85,0,0
7/31/2012,1688398588711.76,0,0,0,924536988575.77,0,282031011255.02,0,0
8/31/2012,1694919135051.4,0,0,0,891005922530.74,0,280883491676.4,0,0
9/30/2012,1702593992585.17,0,0,0,884487772560.49,0,280703275589.12,0,0
10/31/2012,1702519343926.33,0,0,0,896181617083.05,0,277010710856.54,0,0
11/30/2012,1758643170942.38,0,0,0,904705740564.18,0,283812206261.01,0,0
12/31/2012,1752178041591.26,0,0,0,935489539776.62,0,295782472321.55,0,0
1/31/2013,1784643508796.19,0,0,0,945767551888.17,0,291720672038.38,0,0
2/28/2013,1773908558377.47,0,0,0,931435646399.81,0,288993747786.41,0,0
3/31/2013,1740768875132.69,0,0,0,908669917734.54,0,279601693640.24,0,0
4/30/2013,1754084117048.03,0,0,0,924974683018.92,0,267880726133.41,0,0
5/31/2013,1738812288102.98,0,0,0,935520426313.8,0,266900892767.14,0,0
6/30/2013,1705228109526.07,0,0,0,918357451241.14,0,275426414639.11,0,0
7/31/2013,1737543529926.13,0,0,0,961975447893.2,0,274879306729.61,0,0
8/31/2013,1756465380048.64,0,0,0,933625061109.97,0,279219954416.99,0,0
9/30/2013,1759748669953.53,0,0,0,987976034776.96,0,275447022438.25,0,0
10/31/2013,1790499072922.83,0,0,0,948296620900.76,0,272635162803.87,0,0
11/30/2013,1778956882084.12,0,0,0,938445473577.2,0,274673075834.14,0,0
12/31/2013,1774817210278.65,0,0,0,994833631873.22,0,280306757103.04,0,0
1/31/2014,1802032609450.18,0,0,0,971080940377.47,0,279142768056.94,0,0
2/28/2014,1786487364956.89,0,0,0,961299129139.57,0,278854991238.58,0,0
3/31/2014,1765973910975.74,0,0,0,947869095039.5,0,279410804588.21,0,0
4/30/2014,1747379822305.08,0,0,0,941648369042.22,0,267344196064.98,0,0
5/31/2014,1739543453933.11,0,0,0,935249305622.87,0,267274232390.02,0,0
6/30/2014,1698916679762.63,0,0,0,946614040835.53,0,266514902993.12,0,0
7/31/2014,1717660603933.59,0,0,0,924992322099.16,0,266189034093.59,0,0
8/31/2014,1730958282542.44,0,0,0,939842657589.46,0,268001769894.21,0,0
9/30/2014,1704590193403.43,0,0,0,996825799648.76,0,263947589378,0,0
10/31/2014,1753552858780.78,0,0,0,978102134832.28,0,261207359190.73,0,0
11/30/2014,1757441543018.48,0,0,0,983664013338.06,0,261592284660.67,0,0
12/31/2014,1759740669122.76,0,0,0,1055593868282.22,0,266581893153.44,0,0
1/31/2015,1770575127495.73,0,0,0,1011738456309.8,0,267499512693.06,0,0
2/28/2015,1774918650117.65,0,0,0,990980100193.64,0,266958140095.59,0,0
3/31/2015,1737369146954.36,0,0,0,1011754717641.2,0,267732996409.33,0,0
4/30/2015,1703062646800.04,0,0,0,972181091408.98,0,251674499435.01,0,0
5/31/2015,1724652665475.3,0,0,0,972204935762.84,0,254003097759.41,0,0
6/30/2015,1687735589094.99,0,0,0,1013058957928.6,0,250849669015.99,0,0
7/31/2015,1727591349920.34,0,0,0,1017309668513.13,0,253729966878.32,0,0
8/31/2015,1752913528316.73,0,0,0,1040962056756.71,0,252254462253.76,0,0
9/30/2015,1734349887483.51,0,0,0,1025991332172.47,0,252697060150.74,0,0
10/31/2015,1784956739345.16,0,0,0,1037138911854.59,0,254008618974.23,0,0
11/30/2015,1723973319727.9,0,0,0,1103732061142.71,0,253384609906.02,0,0
12/31/2015,1555927933947.07,0,0,0,1248342693409.16,0,253985486558.94,0,0
1/31/2016,1564562449139.67,0,0,0,1229512928864.12,0,251918334697.09,0,0
2/29/2016,1590719933465.7,0,0,0,1296191186088.22,0,244266132174.18,0,0
3/31/2016,1504711212842.57,0,0,0,1313824505346.19,0,240311280866.12,0,0
