Timestamp,Date,Measure,Ethereum,Solana,Polygon,Avalanche C-Chain,Stellar,Base,Arbitrum,Aptos
1644192000000,2022-02-07,Bridged Token Value (Dollar),,,,,2092269.7861710787,,,
1644278400000,2022-02-08,Bridged Token Value (Dollar),,,,,2092270.3552676707,,,
1644364800000,2022-02-09,Bridged Token Value (Dollar),,,,,2092681.474364662,,,
1644451200000,2022-02-10,Bridged Token Value (Dollar),,,,,2093890.4935701196,,,
1644537600000,2022-02-11,Bridged Token Value (Dollar),,,,,2093898.204277869,,,
1644624000000,2022-02-12,Bridged Token Value (Dollar),,,,,2093898.204277869,,,
1644710400000,2022-02-13,Bridged Token Value (Dollar),,,,,2093898.204277869,,,
1644796800000,2022-02-14,Bridged Token Value (Dollar),,,,,2094065.2238143228,,,
1644883200000,2022-02-15,Bridged Token Value (Dollar),,,,,2094532.7933992178,,,
1644969600000,2022-02-16,Bridged Token Value (Dollar),,,,,2094492.8631112021,,,
1645056000000,2022-02-17,Bridged Token Value (Dollar),,,,,2094577.1528126618,,,
1645142400000,2022-02-18,Bridged Token Value (Dollar),,,,,2044479.4317130293,,,
1645228800000,2022-02-19,Bridged Token Value (Dollar),,,,,2044479.4317130293,,,
1645315200000,2022-02-20,Bridged Token Value (Dollar),,,,,2044479.4317130293,,,
1645401600000,2022-02-21,Bridged Token Value (Dollar),,,,,2044479.4317130293,,,
1645488000000,2022-02-22,Bridged Token Value (Dollar),,,,,2045002.989856731,,,
1645574400000,2022-02-23,Bridged Token Value (Dollar),,,,,2048009.5481435412,,,
1645660800000,2022-02-24,Bridged Token Value (Dollar),,,,,2048110.10725113,,,
1645747200000,2022-02-25,Bridged Token Value (Dollar),,,,,2054278.7867012385,,,
1645833600000,2022-02-26,Bridged Token Value (Dollar),,,,,2054278.7867012385,,,
1645920000000,2022-02-27,Bridged Token Value (Dollar),,,,,2054278.7867012385,,,
1646006400000,2022-02-28,Bridged Token Value (Dollar),,,,,2186461.585469834,,,
1646092800000,2022-03-01,Bridged Token Value (Dollar),,,,,2186663.6845615506,,,
1646179200000,2022-03-02,Bridged Token Value (Dollar),,,,,2186654.283708457,,,
1646265600000,2022-03-03,Bridged Token Value (Dollar),,,,,2187574.8828527527,,,
1646352000000,2022-03-04,Bridged Token Value (Dollar),,,,,2054516.4639643552,,,
1646438400000,2022-03-05,Bridged Token Value (Dollar),,,,,2054516.4639643552,,,
1646524800000,2022-03-06,Bridged Token Value (Dollar),,,,,2054516.4639643552,,,
1646611200000,2022-03-07,Bridged Token Value (Dollar),,,,,2053782.0229471766,,,
1646697600000,2022-03-08,Bridged Token Value (Dollar),,,,,2053777.0315756341,,,
