Date,IBIT_Net_Flow_USD,FBTC_Net_Flow_USD,BITB_Net_Flow_USD,ARKB_Net_Flow_USD,BTCO_Net_Flow_USD,EZBC_Net_Flow_USD,BRRR_Net_Flow_USD,HODL_Net_Flow_USD,BTCW_Net_Flow_USD,MSBT_Net_Flow_USD,GBTC_Net_Flow_USD,BTC_Net_Flow_USD,Total_Net_Flow_USD,Source_URL
2024-01-11,111700000,227000000,237900000,65300000,17400000,50100000,29400000,10600000,1000000,,-95100000,,655300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-12,386000000,195300000,17400000,39800000,28400000,0,20200000,0,0,,-484100000,,203000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-16,212700000,102000000,50200000,122300000,31900000,0,15300000,7300000,0,,-594400000,,-52700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-17,371400000,358100000,68200000,50300000,57600000,1200000,1200000,4800000,1600000,,-460600000,,453800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-18,145500000,177900000,20100000,41800000,58800000,0,9300000,2300000,0,,-582300000,,-126600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-19,201500000,222300000,56700000,62600000,63400000,0,10400000,14200000,2900000,,-590400000,,43600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-22,260600000.00000003,158700000,41600000,65000000,5600000,4700000,9700000,6800000,400000,,-640500000,,-87400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-23,160100000,157700000,26300000,61800000,0,1100000,0,2200000,0,,-515299999.99999994,,-106100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-24,66200000,125700000,19100000,24900000,19900000,1200000,9100000,4500000,400000,,-429300000,,-158300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-25,170700000,101000000,20000000,16100000.000000002,0,0,6500000,0,0,,-394100000,,-79800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-26,87100000,100100000,30900000,46400000,0,1200000,1800000,2400000,0,,-255100000,,14800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-29,198400000,208200000,20000000,17200000,3000000,0,0,0,0,,-191700000,,255100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-30,299200000,119200000,21900000,16800000,6300000,2500000,0,0,2100000,,-220700000,,247300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-01-31,116200000,232000000,17800000,14800000,1500000,0,600000,2400000,0,,-187700000,,197600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-01,163900000,35800000,4200000,15900000,0,0,0,0,700000,,-182000000,,38500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-02,105800000,78900000,11500000,22600000,0,2500000,0,2400000,900000,,-144600000,,80000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-05,137300000,38000000,0,0,0,0,0,0,700000,,-107900000,,68100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-06,45200000,37700000,11300000,8600000,0,0,0,2400000,1100000,,-72700000,,33600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-07,56200000,130100000,21400000,3300000,8600000,5100000,1200000,0,900000,,-80800000,,146000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-08,204100000,128300000.00000001,60500000,86400000,13400000,0,1900000,10300000,1700000,,-101600000,,405000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-09,250700000,188400000,29100000,136500000,-17400000,1400000,1400000,2700000,500000,,-51800000,,541500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-12,374700000,151900000,33000000,40000000,-20800000,0,1100000,8500000,0,,-95000000,,493400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-13,493100000,163600000,10800000,40000000,0,0,0,0,1600000,,-72800000,,636300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-14,224300000,118900000,47200000,101500000,-37500000,9000000,1000000,2900000,3600000,,-131199999.99999999,,339700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-15,330900000,97400000,120200000,88900000,1300000,3000000,7400000,2900000,0,,-174600000,,477400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-16,191400000,116700000,20900000,140000000,1000000,0,7900000,0,2800000,,-150400000,,330300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-20,154300000,71700000,11100000,27400000,0,0,0,5900000,2200000,,-137000000,,135600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-21,96500000,52500000,0,10700000,1000000,3000000,0,0,0,,-199300000,,-35600000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-22,125100000,158900000,7900000,6700000,0,0,1200000,2900000,4400000,,-55700000,,251400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-23,167500000,52500000,12000000,34500000,0,1500000,0,8700000,0,,-44200000,,232500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2024-02-26,111800000,243300000,37200000,130600000,4400000,7900000,0,6200000,900000,,-22400000,,519900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
