Date,ETHA_Net_Flow_USD,ETHB_Net_Flow_USD,FETH_Net_Flow_USD,ETHW_Net_Flow_USD,TETH_Net_Flow_USD,ETHV_Net_Flow_USD,QETH_Net_Flow_USD,EZET_Net_Flow_USD,ETHE_Net_Flow_USD,ETH_Net_Flow_USD,Total_Net_Flow_USD,Source_URL
2024-07-23,266500000,,71300000,204000000,7500000,7600000,5500000,13200000,-484100000,15100000,106600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-07-24,17400000,,74500000,29600000,0,19800000,2500000,3900000,-326900000,45900000,-133300000.00000001,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-07-25,70900000,,34300000,16300000,0,8000000,6200000,0,-346200000,58100000,-152400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-07-26,87200000,,39300000,16000000,0,0,0,6200000,-356300000,44900000,-162700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-07-29,58200000,,24800000,10400000,0,10900000,0,2500000,-210000000,4900000,-98300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-07-30,118000000,,16399999.999999998,3500000,0,0,0,3700000,-120300000,12400000,33700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-07-31,5000000,,18800000,4700000,3300000,4800000,0,0,-133300000.00000001,19500000,-77200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-01,89600000,,11700000,3400000,0,0,0,0,-78000000,0,26700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-02,0,,6000000,0,0,0,0,1100000,-61400000,0,-54300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-05,47100000,,16200000,7200000,0,16600000.000000002,0,900000,-46800000,7600000,48800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-06,109900000,,22500000,0,0,0,0,1000000,-39700000,4700000,98400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-07,0,,4700000,1700000,0,0,0,1800000,-31900000,0,-23700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-08,11700000,,-2600000,2800000,0,0,0,0,-19800000,5000000,-2900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-09,19600000,,3900000,0,0,0,0,0,-41700000,2400000,-15800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-12,0,,4000000,2900000,0,-2900000,0,1000000,0,0,5000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-13,49100000,,5400000,0,0,0,800000,0,-31000000,0,24300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-14,16100000.000000002,,6600000,2700000,0,0,0,0,-16900000,2300000,10800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-15,800000,,2500000,0,0,0,0,0,-42500000,0,-39200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-16,10300000,,7200000,0,0,-4800000,0,0,-27700000,0,-15000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-19,0,,0,1900000,0,0,0,0,-20300000,4900000,-13500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-20,26800000,,0,3700000,0,0,0,0,-37000000,0,-6500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-21,0,,7900000,0,0,0,0,1000000,-31100000,4200000,-18000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-22,0,,14300000,0,0,1000000,0,0,-19800000,3700000,-800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-23,0,,700000,1400000,0,2000000,0,0,-9800000,0,-5700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-26,0,,-2700000,0,0,0,0,-1000000,-9500000,0,-13200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-27,0,,3900000,1900000,0,0,0,0,-9200000,0,-3400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-28,8400000,,1300000,0,0,0,0,0,-3800000,0,5900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-29,0,,0,0,0,0,0,0,-5300000,3600000,-1700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-08-30,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-03,0,,4900000,0,0,0,0,0,-52300000,0,-47400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-04,0,,0,0,0,0,0,0,-40600000,3100000,-37500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-05,0,,0,0,0,0,0,0,-7400000,7200000,-200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-06,4700000,,0,0,0,0,0,0,-10700000,0,-6000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-09,0,,7600000,1800000,0,0,0,0,-22600000,8000000,-5200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-10,4300000,,7100000,0,0,0,0,0,0,0,11400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-11,0,,1200000,0,0,-1700000,0,0,0,0,-500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-12,0,,0,0,0,0,0,0,-20100000,0,-20100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-13,3700000,,0,5200000,0,0,0,0,-7400000,0,1500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-16,4200000,,0,-2100000,0,0,0,0,-13800000,2300000,-9400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-17,0,,0,0,0,0,0,0,-17900000,2800000,-15100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-18,4900000,,0,0,0,0,0,0,-14700000,0,-9800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-19,5200000,,0,0,0,0,0,0,0,0,5200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-20,0,,0,0,0,0,0,0,0,2900000,2900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-23,0,,0,1300000,0,0,0,0,-80600000,0,-79300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-24,59300000,,0,0,0,1900000,1300000,0,0,0,62500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-25,9400000,,6400000,0,800000,0,0,0,0,26600000,43200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-26,15300000,,15900000,1000000,700000,1000000,2000000,0,-36000000,0,-100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-27,11500000,,42500000,5400000,1400000,2000000,4300000,0,-10700000,2300000,58700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-09-30,11000000,,0,0,0,0,0,0,-11800000,0,-800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-01,0,,-25000000,-900000,1200000,2700000,0,0,-26600000,0,-48600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-02,18000000,,0,0,0,0,0,1800000,-5400000,0,14400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-03,12100000,,-600000,0,0,0,0,0,-14700000,0,-3200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-04,14700000,,0,900000,0,0,0,0,-8199999.999999999,0,7400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-07,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-08,0,,-3600000,-4500000,0,0,0,0,0,0,-8100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-09,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-10,17800000,,-3500000,-4200000,0,0,0,0,-10300000,3300000,3100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-11,0,,8600000,0,0,0,0,0,-8700000,0,-100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-14,14300000,,1300000,0,400000,0,1000000,0,0,0,17000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-15,0,,2600000,0,0,0,0,0,-15300000,0,-12700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-16,11900000,,8500000,0,0,3800000,0,0,0,0,24200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-17,23600000,,31100000,1500000,2300000,0,500000,0,-15700000,5100000,48400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-18,0,,0,1900000,0,0,0,0,0,0,1900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-21,4900000,,0,0,0,3900000,0,0,-29600000,0,-20800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-22,11900000,,0,0,0,0,0,0,0,0,11900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-23,0,,6200000,0,1600000,0,1000000,0,-7600000,0,1200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-24,2300000,,0,0,0,0,0,0,0,0,2300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-25,0,,0,0,0,0,0,0,-19200000,0,-19200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-28,2300000,,5000000,0,0,0,0,0,-8400000,0,-1100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-29,13600000,,0,0,0,0,0,0,-6000000,0,7600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-30,0,,5300000,-3600000,2700000,0,0,0,0,0,4400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-10-31,49600000,,0,0,0,0,0,0,-36600000,0,13000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-01,0,,0,0,0,0,500000,0,-11400000,0,-10900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-04,11000000,,-31500000,0,0,0,0,0,-10800000,-31900000,-63200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-05,0,,0,0,0,0,0,0,0,0,0,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-06,0,,26900000,0,0,0,0,0,0,25400000,52300000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-07,23700000,,28900000,6600000,0,12700000,2300000,0,0,5500000,79700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-08,59800000,,18400000,3400000,0,4300000,0,0,0,0,85900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-11,101100000,,115500000,15600000,0,0,0,0,0,63300000,295500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-12,131400000,,0,17000000,2000000,6000000,0,0,-33200000.000000004,12700000,135900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-13,35600000,,101700000,13000000,0,0,0,0,-5600000,2200000,146900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-14,18900000,,0,0,0,-1100000,900000,0,-21900000,0,-3200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-15,0,,-18400000,0,0,-1100000,0,0,-40300000,0,-59800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-11-18,-23900000,,3200000,0,0,0,0,0,-13300000,-5100000,-39100000,https://farside.co.uk/ethereum-etf-flow-all-data/
