Date,RIC,LSEG_Field,MOVE_Index
2020-01-01 00:00:00+00:00,.MOVE,TRDPRC_1,58.28
2020-01-02 00:00:00+00:00,.MOVE,TRDPRC_1,57.2
2020-01-03 00:00:00+00:00,.MOVE,TRDPRC_1,60.12
2020-01-06 00:00:00+00:00,.MOVE,TRDPRC_1,62.79
2020-01-07 00:00:00+00:00,.MOVE,TRDPRC_1,62.63
2020-01-08 00:00:00+00:00,.MOVE,TRDPRC_1,60.49
2020-01-09 00:00:00+00:00,.MOVE,TRDPRC_1,57.66
2020-01-10 00:00:00+00:00,.MOVE,TRDPRC_1,53.32
2020-01-13 00:00:00+00:00,.MOVE,TRDPRC_1,53.27
2020-01-14 00:00:00+00:00,.MOVE,TRDPRC_1,52.35
2020-01-15 00:00:00+00:00,.MOVE,TRDPRC_1,50.54
2020-01-16 00:00:00+00:00,.MOVE,TRDPRC_1,50.37
2020-01-17 00:00:00+00:00,.MOVE,TRDPRC_1,49.67
2020-01-20 00:00:00+00:00,.MOVE,TRDPRC_1,49.67
2020-01-21 00:00:00+00:00,.MOVE,TRDPRC_1,53.42
2020-01-22 00:00:00+00:00,.MOVE,TRDPRC_1,51.31
2020-01-23 00:00:00+00:00,.MOVE,TRDPRC_1,55.34
2020-01-24 00:00:00+00:00,.MOVE,TRDPRC_1,59.94
2020-01-27 00:00:00+00:00,.MOVE,TRDPRC_1,66.73
2020-01-28 00:00:00+00:00,.MOVE,TRDPRC_1,65.6
2020-01-29 00:00:00+00:00,.MOVE,TRDPRC_1,66.17
2020-01-30 00:00:00+00:00,.MOVE,TRDPRC_1,71.07
2020-01-31 00:00:00+00:00,.MOVE,TRDPRC_1,72.98
2020-02-03 00:00:00+00:00,.MOVE,TRDPRC_1,72.81
2020-02-04 00:00:00+00:00,.MOVE,TRDPRC_1,68.17
2020-02-05 00:00:00+00:00,.MOVE,TRDPRC_1,64.07
2020-02-06 00:00:00+00:00,.MOVE,TRDPRC_1,61.24
2020-02-07 00:00:00+00:00,.MOVE,TRDPRC_1,65.59
2020-02-10 00:00:00+00:00,.MOVE,TRDPRC_1,68.13
2020-02-11 00:00:00+00:00,.MOVE,TRDPRC_1,64.89
2020-02-12 00:00:00+00:00,.MOVE,TRDPRC_1,63.52
2020-02-13 00:00:00+00:00,.MOVE,TRDPRC_1,63.51
2020-02-14 00:00:00+00:00,.MOVE,TRDPRC_1,62.38
2020-02-18 00:00:00+00:00,.MOVE,TRDPRC_1,67.66
2020-02-19 00:00:00+00:00,.MOVE,TRDPRC_1,68.04
2020-02-20 00:00:00+00:00,.MOVE,TRDPRC_1,69.6
2020-02-21 00:00:00+00:00,.MOVE,TRDPRC_1,74.54
2020-02-24 00:00:00+00:00,.MOVE,TRDPRC_1,86.92
2020-02-25 00:00:00+00:00,.MOVE,TRDPRC_1,87.38
2020-02-26 00:00:00+00:00,.MOVE,TRDPRC_1,87.0
2020-02-27 00:00:00+00:00,.MOVE,TRDPRC_1,92.59
2020-02-28 00:00:00+00:00,.MOVE,TRDPRC_1,109.67
2020-03-02 00:00:00+00:00,.MOVE,TRDPRC_1,104.89
2020-03-03 00:00:00+00:00,.MOVE,TRDPRC_1,102.97
2020-03-04 00:00:00+00:00,.MOVE,TRDPRC_1,89.59
2020-03-05 00:00:00+00:00,.MOVE,TRDPRC_1,96.96
2020-03-06 00:00:00+00:00,.MOVE,TRDPRC_1,125.21
2020-03-09 00:00:00+00:00,.MOVE,TRDPRC_1,163.7
2020-03-10 00:00:00+00:00,.MOVE,TRDPRC_1,123.72
2020-03-11 00:00:00+00:00,.MOVE,TRDPRC_1,127.84
2020-03-12 00:00:00+00:00,.MOVE,TRDPRC_1,152.62
2020-03-13 00:00:00+00:00,.MOVE,TRDPRC_1,138.4
