Date,Germany_1M_Bill_Yield,Germany_3M_Bill_Yield,France_1M_Bill_Yield,France_3M_Bill_Yield
2020-01-02,-0.744,-0.692,-0.5737,-0.6232
2020-01-03,-0.648,-0.627,-0.5946,-0.612
2020-01-06,-0.641,-0.63,-0.608,-0.6294
2020-01-07,-0.644,-0.625,-0.601,-0.5984
2020-01-08,-0.638,-0.634,-0.585,-0.5828
2020-01-09,-0.618,-0.633,-0.565,-0.5854
2020-01-10,-0.629,-0.632,-0.59,-0.5791
2020-01-13,-0.61,-0.601,-0.563,-0.5873
2020-01-14,-0.613,-0.602,-0.5879,-0.5883
2020-01-15,-0.602,-0.596,-0.5846,-0.5855
2020-01-16,-0.611,-0.589,-0.5834,-0.5846
2020-01-17,-0.605,-0.588,-0.58,-0.5856
2020-01-20,-0.591,-0.586,-0.5825,-0.5689
2020-01-21,-0.575,-0.58,-0.58,-0.565
2020-01-22,-0.586,-0.58,-0.5801,-0.5696
2020-01-23,-0.57,-0.58,-0.5834,-0.572
2020-01-24,-0.611,-0.58,-0.5847,-0.5712
2020-01-27,-0.573,-0.58,-0.57,-0.572
2020-01-28,-0.616,-0.582,-0.595,-0.577
2020-01-29,-0.57,-0.58,-0.5756,-0.5748
2020-01-30,-0.58,-0.58,-0.583,-0.577
2020-01-31,-0.585,-0.58,-0.55,-0.5918
2020-02-03,-0.591,-0.58,-0.565,-0.588
2020-02-04,-0.608,-0.589,-0.565,-0.593
2020-02-05,-0.576,-0.58,-0.575,-0.596
2020-02-06,-0.63,-0.601,-0.5877,-0.598
2020-02-07,-0.575,-0.603,-0.5894,-0.6
2020-02-10,-0.54,-0.613,-0.615,-0.612
2020-02-11,,-0.605,-0.636,-0.61
2020-02-12,-0.609,-0.586,-0.6296,-0.611
2020-02-13,-0.614,-0.589,-0.632,-0.612
2020-02-14,-0.58,-0.585,-0.6296,-0.61
2020-02-17,-0.598,-0.579,-0.637,-0.5842
2020-02-18,-0.58,-0.583,-0.6349,-0.5848
2020-02-19,-0.589,-0.583,-0.615,-0.5787
2020-02-20,-0.593,-0.584,-0.61,-0.578
2020-02-21,-0.607,-0.584,-0.639,-0.5785
2020-02-24,-0.592,-0.585,-0.6167,-0.5814
2020-02-25,-0.601,-0.606,-0.6186,-0.5866
2020-02-26,-0.612,-0.613,-0.6161,-0.5921
2020-02-27,-0.608,-0.6,-0.632,-0.6018
2020-02-28,-0.58,-0.6,-0.6396,-0.6052
2020-03-02,-0.642,-0.642,-0.648,-0.6269
2020-03-03,-0.652,-0.636,-0.649,-0.6323
2020-03-04,-0.646,-0.661,-0.659,-0.6488
2020-03-05,-0.666,-0.664,-0.664,-0.653
2020-03-06,-0.58,-0.6,-0.661,-0.6522
2020-03-09,-0.674,-0.66,-0.675,-0.6676
2020-03-10,-0.693,-0.765,-0.6843,-0.6764
2020-03-11,-0.724,-0.66,-0.7284,-0.7285
2020-03-12,-0.656,-0.76,-0.6855,-0.6915
2020-03-13,-0.703,-0.773,-0.6945,-0.7341
2020-03-16,-0.737,-0.785,-0.681,-0.612
2020-03-17,-0.622,-0.66,-0.693,-0.693
2020-03-18,-0.72,-0.66,-0.656,-0.636
2020-03-19,-0.709,-0.66,-0.608,-0.556
2020-03-20,-0.72,-0.736,-0.605,-0.56
2020-03-23,-0.58,-0.66,-0.5996,-0.5625
2020-03-24,-0.58,-0.66,-0.5923,-0.52
2020-03-25,-0.58,-0.66,-0.5621,-0.49
2020-03-26,-0.58,-0.66,-0.5591,-0.4925
2020-03-27,-0.58,-0.684,-0.5647,-0.506
2020-03-30,-0.58,-0.66,-0.5054,-0.4773
2020-03-31,-0.708,-0.688,-0.5134,-0.4975
2020-04-01,-0.6595,-0.66,-0.5217,-0.5328
2020-04-02,-0.72,-0.66,-0.5251,-0.5257
2020-04-03,-0.688,-0.66,-0.5247,-0.52315
2020-04-06,-0.702,-0.69,-0.591,-0.5192
2020-04-07,-0.693,-0.694,-0.57,-0.5181
2020-04-08,-0.697,-0.66,-0.6,-0.546
2020-04-09,-0.693,-0.709,-0.6065,-0.5574
2020-04-14,-0.68,-0.66,-0.5528,-0.476
2020-04-15,-0.689,-0.666,-0.5487,-0.477
2020-04-16,-0.684,-0.67,-0.5543,-0.485
2020-04-17,-0.662,-0.668,-0.5497,-0.4772
2020-04-20,-0.642,-0.558,-0.5763,-0.474
2020-04-21,-0.618,-0.568,-0.5733,-0.475
2020-04-22,-0.612,-0.55,-0.569,-0.4723
2020-04-23,-0.613,-0.553,-0.567,-0.48
2020-04-24,-0.602,-0.59,-0.5815,-0.4838
2020-04-27,-0.591,-0.5625,-0.5696,-0.473
2020-04-28,-0.597,-0.576,-0.5747,-0.4939
2020-04-29,-0.608,-0.6,-0.5883,-0.5121
2020-04-30,-0.605,-0.562,-0.5797,-0.52065
2020-05-01,,,,
2020-05-04,-0.591,-0.5595,-0.5739,-0.5277
2020-05-05,-0.603,-0.563,-0.5923,-0.55
2020-05-06,-0.611,-0.554,-0.5936,-0.5675
2020-05-07,-0.618,-0.558,-0.5883,-0.5594
2020-05-08,-0.614,-0.5585,-0.5996,-0.547
2020-05-11,-0.591,-0.559,-0.522,-0.54
2020-05-12,-0.593,-0.53,-0.5309,-0.548
2020-05-13,-0.588,-0.528,-0.5397,-0.5481
2020-05-14,-0.563,-0.531,-0.535,-0.5485
2020-05-15,-0.5725,-0.529,-0.5397,-0.5463
2020-05-18,-0.5655,-0.529,-0.5611,-0.5394
2020-05-19,-0.567,-0.585,-0.5616,-0.5347
2020-05-20,-0.568,-0.531,-0.5621,-0.5346
2020-05-21,-0.585,-0.529,-0.5591,-0.5369
2020-05-22,-0.576,-0.532,-0.5697,-0.5394
2020-05-25,-0.578,-0.585,-0.5739,-0.5244
2020-05-26,-0.581,-0.585,-0.5704,-0.5199
2020-05-27,-0.57,-0.541,-0.5711,-0.5174
2020-05-28,-0.54,-0.539,-0.5737,-0.5189
2020-05-29,-0.517,-0.585,-0.5597,-0.5186
2020-06-01,,,-0.5654,-0.5231
2020-06-02,-0.6,-0.585,-0.5556,-0.5205
2020-06-03,-0.556,-0.531,-0.5506,-0.5202
2020-06-04,-0.558,-0.535,-0.5517,-0.517
2020-06-05,-0.565,-0.585,-0.568,-0.52
2020-06-08,-0.559,-0.57,-0.5482,-0.5094
2020-06-09,-0.56,-0.533,-0.5397,-0.5112
2020-06-10,-0.5605,-0.549,-0.5487,-0.5043
2020-06-11,-0.563,-0.552,-0.5494,-0.5075
2020-06-12,-0.564,-0.548,-0.5497,-0.5048
2020-06-15,-0.548,-0.54,-0.5449,-0.5114
2020-06-16,-0.558,-0.55,-0.5609,-0.5228
2020-06-17,-0.559,-0.55,-0.5615,-0.5346
2020-06-18,-0.551,-0.553,-0.5637,-0.5444
2020-06-19,-0.564,-0.553,-0.577,-0.5698
2020-06-22,-0.566,-0.55,-0.5962,-0.546
2020-06-23,-0.595,-0.563,-0.582,-0.539
2020-06-24,-0.585,-0.561,-0.5888,-0.537
2020-06-25,-0.6,-0.559,-0.5637,-0.53
2020-06-26,-0.607,-0.567,-0.577,-0.521
2020-06-29,-0.617,-0.56,-0.56,-0.525
2020-06-30,-0.577,-0.574,-0.5662,-0.528
2020-07-01,-0.572,-0.5785,-0.567,-0.532
2020-07-02,-0.582,-0.58,-0.5637,-0.537
2020-07-03,-0.577,-0.578,-0.5646,-0.539
2020-07-06,-0.572,-0.581,-0.581,-0.544
2020-07-07,-0.58,-0.583,-0.577,-0.548
2020-07-08,-0.574,-0.586,-0.578,-0.55
2020-07-09,-0.61,-0.586,-0.582,-0.5575
2020-07-10,-0.597,-0.586,-0.577,-0.558
2020-07-13,-0.6,-0.578,-0.5757,-0.56
2020-07-14,-0.594,-0.561,-0.5715,-0.561
2020-07-15,-0.597,-0.579,-0.567,-0.556
2020-07-16,-0.607,-0.568,-0.5817,-0.564
2020-07-17,-0.6,-0.576,-0.5708,-0.565
2020-07-20,-0.604,-0.574,-0.566,-0.565
2020-07-21,-0.595,-0.565,-0.5767,-0.5718
2020-07-22,-0.6,-0.58,-0.567,-0.57
2020-07-23,-0.6,-0.574,-0.5757,-0.5689
2020-07-24,-0.585,-0.575,-0.5646,-0.567
2020-07-27,-0.591,-0.573,-0.5603,-0.5725
2020-07-28,-0.575,-0.569,-0.5662,-0.5654
2020-07-29,-0.58,-0.573,-0.567,-0.5705
2020-07-30,-0.583,-0.576,-0.5697,-0.5743
2020-07-31,-0.58,-0.578,-0.5705,-0.5723
2020-08-03,-0.581,-0.575,-0.5654,-0.5714
2020-08-04,-0.587,-0.575,-0.5662,-0.5739
2020-08-05,-0.589,-0.562,-0.5615,-0.5744
2020-08-06,-0.6,-0.571,-0.5757,-0.5757
2020-08-07,-0.596,-0.575,-0.5708,-0.5785
2020-08-10,-0.598,-0.561,-0.571,-0.5744
2020-08-11,-0.613,-0.57,-0.5715,-0.5725
2020-08-12,-0.609,-0.559,-0.595,-0.5615
2020-08-13,-0.577,-0.555,-0.576,-0.5718
2020-08-14,-0.581,-0.565,-0.583,-0.5698
2020-08-17,-0.564,-0.553,-0.5808,-0.563
2020-08-18,-0.566,-0.556,-0.5825,-0.5695
2020-08-19,-0.578,-0.554,-0.5942,-0.5705
2020-08-20,-0.585,-0.572,-0.5937,-0.567
2020-08-21,-0.566,-0.572,-0.5894,-0.567
2020-08-24,-0.617,-0.555,-0.563,-0.5615
2020-08-25,-0.595,-0.55,-0.5635,-0.5585
2020-08-26,-0.565,-0.566,-0.561,-0.5538
2020-08-27,-0.563,-0.578,-0.559,-0.5576
2020-08-28,-0.565,-0.579,-0.5625,-0.5578
2020-08-31,-0.571,-0.57,-0.557,-0.5579
2020-09-01,-0.573,-0.592,-0.558,-0.5547
2020-09-02,-0.563,-0.584,-0.555,-0.5566
2020-09-03,-0.568,-0.595,-0.5645,-0.5607
2020-09-04,-0.596,-0.596,-0.562,-0.561
2020-09-07,-0.578,-0.613,-0.61,-0.5667
2020-09-08,-0.573,-0.604,-0.5995,-0.567
2020-09-09,-0.609,-0.612,-0.5865,-0.5654
2020-09-10,-0.582,-0.612,-0.5835,-0.5663
2020-09-11,-0.569,-0.607,-0.5835,-0.5685
2020-09-14,-0.591,-0.586,-0.6039,-0.5575
2020-09-15,-0.585,-0.583,-0.61,-0.5761
2020-09-16,-0.577,-0.59,-0.595,-0.5766
2020-09-17,-0.56,-0.578,-0.59,-0.586
2020-09-18,-0.58,-0.592,-0.5946,-0.5923
2020-09-21,-0.584,-0.583,-0.585,-0.57
2020-09-22,-0.609,-0.5915,-0.5979,-0.5796
2020-09-23,-0.585,-0.599,-0.6106,-0.5875
2020-09-24,-0.56,-0.597,-0.5937,-0.595
2020-09-25,-0.61,-0.608,-0.6195,-0.5925
