Date,UK_1M_Bill_Yield,UK_3M_Bill_Yield
2020-01-02,0.6795,0.7175
2020-01-03,0.6765,0.7085
2020-01-06,0.678,0.705
2020-01-07,0.683,0.664
2020-01-08,0.681,0.6655
2020-01-09,0.679,0.661
2020-01-10,0.677,0.6635
2020-01-13,0.678,0.642
2020-01-14,0.5745,0.673
2020-01-15,0.667,0.644
2020-01-16,0.6645,0.6405
2020-01-17,0.662,0.515
2020-01-20,0.661,0.6605
2020-01-21,0.6695,0.648
2020-01-22,0.639,0.649
2020-01-23,0.6355,0.636
2020-01-24,0.647,0.6425
2020-01-27,0.6435,0.633
2020-01-28,0.6155,0.6985
2020-01-29,0.611,0.6325
2020-01-30,0.621,0.644
2020-01-31,0.6925,0.71
2020-02-03,0.6955,0.7115
2020-02-04,0.683,0.664
2020-02-05,0.681,0.6695
2020-02-06,0.679,0.669
2020-02-07,0.677,0.6595
2020-02-10,0.661,0.655
2020-02-11,0.6695,0.6725
2020-02-12,0.681,0.6775
2020-02-13,0.679,0.673
2020-02-14,0.677,0.6685
2020-02-17,0.678,0.668
2020-02-18,0.6425,0.632
2020-02-19,0.639,0.6325
2020-02-20,0.6355,0.627
2020-02-21,0.6465,0.6265
2020-02-24,0.6435,0.62
2020-02-25,0.683,0.653
2020-02-26,0.681,0.652
2020-02-27,0.679,0.6445
2020-02-28,0.6465,0.594
2020-03-02,0.591,0.5225
2020-03-03,0.5885,0.5585
2020-03-04,0.4845,0.4225
2020-03-05,0.562,0.49
2020-03-06,0.5555,0.4575
2020-03-09,0.504,0.407
2020-03-10,0.4665,0.4525
2020-03-11,0.2035,0.2545
2020-03-12,0.197,0.324
2020-03-13,0.2055,0.3655
2020-03-16,0.191,0.35
2020-03-17,0.2085,0.3635
2020-03-18,0.1825,0.355
2020-03-19,0.1895,0.3945
2020-03-20,0.146,0.3445
2020-03-23,0.141,0.326
2020-03-24,0.1825,0.193
2020-03-25,0.1895,0.207
2020-03-26,0.19,0.2155
2020-03-27,0.1825,0.2095
2020-03-30,0.165,0.2
2020-03-31,0.196,0.152
2020-04-01,0.1755,0.146
2020-04-02,0.168,0.1785
2020-04-03,0.16,0.1725
2020-04-06,0.139,0.161
2020-04-07,0.142,0.298
2020-04-08,0.1335,0.302
2020-04-09,0.117,0.3155
2020-04-14,0.1095,0.2815
2020-04-15,0.1335,0.088
2020-04-16,0.146,0.083
2020-04-17,0.137,0.0795
2020-04-20,0.113,0.05
2020-04-21,0.0745,0.079
2020-04-22,0.049,0.068
2020-04-23,0.029,0.0375
2020-04-24,0.015,0.0295
2020-04-27,0.009,0.024
2020-04-28,-0.026,0.067
2020-04-29,-0.0205,0.051
2020-04-30,-0.035,0.0085
2020-05-01,-0.044,-0.0335
2020-05-04,-0.0745,-0.106
2020-05-05,-0.115,-0.12
2020-05-06,-0.1335,-0.17
2020-05-07,0.058,0.079
2020-05-08,,
2020-05-11,0.0435,0.063
2020-05-12,0.0205,0.051
2020-05-13,0.007,0.031
2020-05-14,0.015,0.0
2020-05-15,0.015,-0.0045
2020-05-18,-0.009,-0.041
2020-05-19,0.0,-0.044
2020-05-20,0.035,0.014
2020-05-21,0.015,0.054
2020-05-22,0.03,0.0165
2020-05-25,,
2020-05-26,0.0365,0.031
2020-05-27,0.007,0.0225
2020-05-28,0.015,0.0335
2020-05-29,0.015,0.0045
2020-06-01,0.026,-0.024
2020-06-02,0.018,0.013
2020-06-03,0.019,0.0
2020-06-04,0.03,-0.0065
2020-06-05,0.015,-0.0335
2020-06-08,0.009,-0.015
2020-06-09,-0.0205,-0.059
2020-06-10,-0.021,-0.031
2020-06-11,-0.015,-0.0335
2020-06-12,-0.015,-0.0375
2020-06-15,-0.026,-0.028
2020-06-16,0.0335,-0.03
2020-06-17,0.021,-0.0595
2020-06-18,0.029,-0.029
2020-06-19,0.046,-0.0255
2020-06-22,0.009,-0.024
2020-06-23,-0.0205,-0.043
2020-06-24,-0.021,-0.0635
2020-06-25,-0.015,-0.0415
2020-06-26,-0.03,-0.0465
2020-06-29,-0.009,-0.067
2020-06-30,-0.0335,-0.034
2020-07-01,-0.021,-0.047
2020-07-02,-0.044,-0.0705
2020-07-03,-0.03,-0.0835
2020-07-06,-0.0435,-0.063
2020-07-07,-0.0335,-0.047
2020-07-08,-0.035,-0.072
2020-07-09,-0.102,-0.0915
2020-07-10,-0.1065,-0.0625
2020-07-13,-0.078,-0.067
2020-07-14,-0.0605,-0.067
2020-07-15,-0.063,-0.055
2020-07-16,-0.058,-0.0495
2020-07-17,-0.015,-0.0545
2020-07-20,-0.0435,-0.059
2020-07-21,-0.0335,-0.034
2020-07-22,-0.035,-0.039
2020-07-23,-0.058,-0.0335
2020-07-24,-0.061,-0.0465
2020-07-27,-0.0435,-0.041
2020-07-28,-0.0475,-0.047
2020-07-29,-0.049,-0.031
2020-07-30,-0.044,-0.0625
2020-07-31,-0.046,-0.0415
2020-08-03,-0.061,-0.046
2020-08-04,-0.039,-0.047
2020-08-05,-0.0335,-0.055
2020-08-06,-0.007,-0.0165
2020-08-07,-0.022,-0.0165
2020-08-10,-0.0165,-0.011
2020-08-11,-0.0205,-0.0225
2020-08-12,-0.021,-0.0205
2020-08-13,-0.022,-0.0165
2020-08-14,0.023,-0.0165
2020-08-17,0.017,-0.015
2020-08-18,-0.0205,-0.006
2020-08-19,-0.021,-0.033
2020-08-20,-0.022,-0.021
2020-08-21,-0.0075,-0.0335
2020-08-24,0.002,-0.028
2020-08-25,0.0065,-0.0345
2020-08-26,0.007,-0.033
2020-08-27,-0.007,-0.033
2020-08-28,-0.0075,-0.0335
2020-08-31,,
2020-09-01,0.0095,-0.0375
2020-09-02,-0.007,-0.0285
2020-09-03,-0.022,-0.0165
2020-09-04,-0.023,-0.0335
2020-09-07,-0.035,-0.037
2020-09-08,-0.0335,-0.0265
2020-09-09,-0.035,-0.0285
2020-09-10,-0.0365,-0.029
2020-09-11,-0.038,-0.0335
