Date,DE1MT=RR_MID_YLD_1,DE1MT=RR_YLDTOMAT,DE1MT=RR_B_YLD_1,DE1MT=RR_A_YLD_1,DE3MT=RR_MID_YLD_1,DE3MT=RR_YLDTOMAT,DE3MT=RR_B_YLD_1,DE3MT=RR_A_YLD_1,FR1MT=RR_MID_YLD_1,FR1MT=RR_B_YLD_1,FR1MT=RR_A_YLD_1,FR3MT=RR_MID_YLD_1,FR3MT=RR_B_YLD_1,FR3MT=RR_A_YLD_1,GB1MT=RR_MID_YLD_1,GB1MT=RR_YLDTOMAT,GB1MT=RR_B_YLD_1,GB1MT=RR_A_YLD_1,GB3MT=RR_MID_YLD_1,GB3MT=RR_YLDTOMAT,GB3MT=RR_B_YLD_1,GB3MT=RR_A_YLD_1
2020-01-02,-0.744,,-0.694,-0.794,-0.692,-0.682,-0.682,-0.702,-0.5737,-0.5637,-0.5837,-0.6232,-0.6132,-0.6332,0.6795,0.73,0.73,0.629,0.7175,0.767,0.767,0.668
2020-01-03,-0.648,,-0.598,-0.698,-0.627,-0.617,-0.617,-0.637,-0.5946,-0.5846,-0.6046,-0.612,-0.602,-0.622,0.6765,0.73,0.73,0.623,0.7085,0.759,0.759,0.658
2020-01-06,-0.641,,-0.591,-0.691,-0.63,-0.62,-0.62,-0.64,-0.608,-0.578,-0.638,-0.6294,-0.6194,-0.6394,0.678,0.73,0.73,0.626,0.705,0.755,0.755,0.655
2020-01-07,-0.644,,-0.594,-0.694,-0.625,-0.615,-0.615,-0.635,-0.601,-0.591,-0.611,-0.5984,-0.5884,-0.6084,0.683,0.73,0.73,0.636,0.664,0.715,0.715,0.613
2020-01-08,-0.638,,-0.588,-0.688,-0.634,-0.624,-0.624,-0.644,-0.585,-0.575,-0.595,-0.5828,-0.5728,-0.5928,0.681,0.73,0.73,0.632,0.6655,0.715,0.715,0.616
2020-01-09,-0.618,,-0.568,-0.668,-0.633,-0.623,-0.623,-0.643,-0.565,-0.54,-0.59,-0.5854,-0.5754,-0.5954,0.679,0.73,0.73,0.628,0.661,0.711,0.711,0.611
2020-01-10,-0.629,,-0.579,-0.679,-0.632,-0.622,-0.622,-0.642,-0.59,-0.58,-0.6,-0.5791,-0.5691,-0.5891,0.677,0.73,0.73,0.624,0.6635,0.714,0.714,0.613
2020-01-13,-0.61,,-0.56,-0.66,-0.601,-0.591,-0.591,-0.611,-0.563,-0.561,-0.565,-0.5873,-0.5773,-0.5973,0.678,0.73,0.73,0.626,0.642,0.692,0.692,0.592
2020-01-14,-0.613,,-0.563,-0.663,-0.602,-0.592,-0.592,-0.612,-0.5879,-0.5379,-0.6379,-0.5883,-0.5783,-0.5983,0.5745,0.622,0.622,0.527,0.673,0.723,0.723,0.623
2020-01-15,-0.602,,-0.552,-0.652,-0.596,-0.586,-0.586,-0.606,-0.5846,-0.5346,-0.6346,-0.5855,-0.5755,-0.5955,0.667,0.716,0.716,0.618,0.644,0.695,0.695,0.593
2020-01-16,-0.611,,-0.561,-0.661,-0.589,-0.579,-0.579,-0.599,-0.5834,-0.5334,-0.6334,-0.5846,-0.5746,-0.5946,0.6645,0.716,0.716,0.613,0.6405,0.69,0.69,0.591
2020-01-17,-0.605,,-0.555,-0.655,-0.588,-0.578,-0.578,-0.598,-0.58,-0.54,-0.62,-0.5856,-0.5756,-0.5956,0.662,0.715,0.715,0.609,0.515,0.565,0.565,0.465
2020-01-20,-0.591,,-0.541,-0.641,-0.586,-0.576,-0.576,-0.596,-0.5825,-0.5725,-0.5925,-0.5689,-0.5589,-0.5789,0.661,0.713,0.713,0.609,0.6605,0.71,0.71,0.611
2020-01-21,-0.575,,-0.525,-0.625,-0.58,-0.57,-0.57,-0.59,-0.58,-0.565,-0.595,-0.565,-0.535,-0.595,0.6695,0.703,0.703,0.636,0.648,0.699,0.699,0.597
2020-01-22,-0.586,,-0.536,-0.636,-0.58,-0.57,-0.57,-0.59,-0.5801,-0.5701,-0.5901,-0.5696,-0.5596,-0.5796,0.639,0.674,0.674,0.604,0.649,0.698,0.698,0.6
2020-01-23,-0.57,,-0.52,-0.62,-0.58,-0.57,-0.57,-0.59,-0.5834,-0.5734,-0.5934,-0.572,-0.552,-0.592,0.6355,0.672,0.672,0.599,0.636,0.686,0.686,0.586
2020-01-24,-0.611,,-0.546,-0.676,-0.58,-0.57,-0.57,-0.59,-0.5847,-0.5747,-0.5947,-0.5712,-0.5612,-0.5812,0.647,0.685,0.685,0.609,0.6425,0.693,0.693,0.592
2020-01-27,-0.573,,-0.523,-0.623,-0.58,-0.57,-0.57,-0.59,-0.57,-0.53,-0.61,-0.572,-0.542,-0.602,0.6435,0.678,0.678,0.609,0.633,0.683,0.683,0.583
2020-01-28,-0.616,,-0.551,-0.681,-0.582,-0.572,-0.572,-0.592,-0.595,-0.555,-0.635,-0.577,-0.557,-0.597,0.6155,0.663,0.663,0.568,0.6985,0.719,0.719,0.678
2020-01-29,-0.57,,-0.52,-0.62,-0.58,-0.57,-0.57,-0.59,-0.5756,-0.5656,-0.5856,-0.5748,-0.5648,-0.5848,0.611,0.66,0.66,0.562,0.6325,0.653,0.653,0.612
2020-01-30,-0.58,,-0.53,-0.63,-0.58,-0.57,-0.57,-0.59,-0.583,-0.553,-0.613,-0.577,-0.557,-0.597,0.621,0.672,0.672,0.57,0.644,0.665,0.665,0.623
2020-01-31,-0.585,,-0.535,-0.635,-0.58,-0.57,-0.57,-0.59,-0.55,-0.51,-0.59,-0.5918,-0.5818,-0.6018,0.6925,0.746,0.746,0.639,0.71,0.731,0.731,0.689
2020-02-03,-0.591,,-0.541,-0.641,-0.58,-0.57,-0.57,-0.59,-0.565,-0.525,-0.605,-0.588,-0.573,-0.603,0.6955,0.748,0.748,0.643,0.7115,0.731,0.731,0.692
2020-02-04,-0.608,,-0.558,-0.658,-0.589,-0.554,-0.554,-0.624,-0.565,-0.525,-0.605,-0.593,-0.578,-0.608,0.683,0.73,0.73,0.636,0.664,0.715,0.715,0.613
2020-02-05,-0.576,,-0.526,-0.626,-0.58,-0.57,-0.57,-0.59,-0.575,-0.535,-0.615,-0.596,-0.581,-0.611,0.681,0.73,0.73,0.632,0.6695,0.719,0.719,0.62
2020-02-06,-0.63,,-0.58,-0.68,-0.601,-0.566,-0.566,-0.636,-0.5877,-0.5777,-0.5977,-0.598,-0.583,-0.613,0.679,0.73,0.73,0.628,0.669,0.719,0.719,0.619
2020-02-07,-0.575,,-0.51,-0.64,-0.603,-0.568,-0.568,-0.638,-0.5894,-0.5794,-0.5994,-0.6,-0.585,-0.615,0.677,0.73,0.73,0.624,0.6595,0.71,0.71,0.609
2020-02-10,-0.54,,-0.49,-0.59,-0.613,-0.578,-0.578,-0.648,-0.615,-0.575,-0.655,-0.612,-0.602,-0.622,0.661,0.713,0.713,0.609,0.655,0.705,0.705,0.605
2020-02-11,,,,,-0.605,-0.57,-0.57,-0.64,-0.636,-0.606,-0.666,-0.61,-0.6,-0.62,0.6695,0.717,0.717,0.622,0.6725,0.723,0.723,0.622
2020-02-12,-0.609,,-0.574,-0.644,-0.586,-0.576,-0.576,-0.596,-0.6296,-0.5796,-0.6796,-0.611,-0.601,-0.621,0.681,0.73,0.73,0.632,0.6775,0.727,0.727,0.628
2020-02-13,-0.614,,-0.594,-0.634,-0.589,-0.57,-0.57,-0.608,-0.632,-0.602,-0.662,-0.612,-0.602,-0.622,0.679,0.73,0.73,0.628,0.673,0.723,0.723,0.623
2020-02-14,-0.58,,-0.57,-0.59,-0.585,-0.575,-0.575,-0.595,-0.6296,-0.5796,-0.6796,-0.61,-0.6,-0.62,0.677,0.73,0.73,0.624,0.6685,0.719,0.719,0.618
2020-02-17,-0.598,,-0.568,-0.628,-0.579,-0.569,-0.569,-0.589,-0.637,-0.607,-0.667,-0.5842,-0.5742,-0.5942,0.678,0.73,0.73,0.626,0.668,0.718,0.718,0.618
